,0
0,https://www.songsterr.com/a/wsa/amon-amarth-the-pursuit-of-vikings-tab-s909t1
1,https://www.songsterr.com/a/wsa/rammstein-sonne-tab-s51438t5
2,https://www.songsterr.com/a/wsa/carcass-heartwork-tab-s27928t1
3,https://www.songsterr.com/a/wsa/type-o-negative-christian-woman-tab-s19775t4
4,https://www.songsterr.com/a/wsa/entombed-left-hand-path-tab-s64557t1
5,https://www.songsterr.com/a/wsa/darth-flex-fear-my-new-song-tab-s6437t1
6,https://www.songsterr.com/a/wsa/degeneration-vaginal-transmutation-divine-enzyme-tab-s6594t0
7,https://www.songsterr.com/a/wsa/eloveena-kaava-tab-s7215t2
8,https://www.songsterr.com/a/wsa/era-era-tab-s7059t7
9,https://www.songsterr.com/a/wsa/paul-gilbert-kate-is-a-star-tab-s8399t1
10,https://www.songsterr.com/a/wsa/gorstomok-backstein-in-die-kinderfresse-tab-s8136t1
11,https://www.songsterr.com/a/wsa/gorstomok-der-rehmann-tab-s8042t2
12,https://www.songsterr.com/a/wsa/gorstomok-tod-und-verderben-tab-s8507t1
13,https://www.songsterr.com/a/wsa/gorstomok-siofuck-tab-s8281t0
14,https://www.songsterr.com/a/wsa/heavy-competition-10-written-kismet-tab-s8906t0
15,https://www.songsterr.com/a/wsa/him-gone-with-the-sin-tab-s9104t2
16,https://www.songsterr.com/a/wsa/rot-jungle-red-skies-tab-s10466t0
17,https://www.songsterr.com/a/wsa/rot-jungle-psychotric-cremation-tab-s10501t1
18,https://www.songsterr.com/a/wsa/msb-competition-november-2004-flight-of-the-elephant-tab-s12342t0
19,https://www.songsterr.com/a/wsa/oomph-swallow-tab-s15565t5
20,https://www.songsterr.com/a/wsa/alejandro-silva-free-fall-tab-s17923t1
21,https://www.songsterr.com/a/wsa/alejandro-silva-omega-tab-s18273t1
22,https://www.songsterr.com/a/wsa/violent-dreams-alexandros-tab-s21778t0
23,https://www.songsterr.com/a/wsa/antipig-carcass-chapter-ii-tab-s1919t2
24,https://www.songsterr.com/a/wsa/brou-awake-tab-s2987t3
25,https://www.songsterr.com/a/wsa/brou-bakterion-tab-s3228t0
