,0
0,https://www.songsterr.com/a/wsa/tab-s515317t6
1,https://www.songsterr.com/a/wsa/untitled-wt9011-demotest-tab-s515062t5
2,https://www.songsterr.com/a/wsa/ben-mason-finale-battle-buttons-ost-tab-s514875t6
3,https://www.songsterr.com/a/wsa/dey-john-smth-long-tab-s514824t1
4,https://www.songsterr.com/a/wsa/bleachers-i-wanna-get-better-tab-s514823t5
5,https://www.songsterr.com/a/wsa/gary-davis-got-to-get-your-love-tab-s514799t1
6,https://www.songsterr.com/a/wsa/valhalladante-cycles-of-aurora-tab-s514695t12
7,https://www.songsterr.com/a/wsa/alain-gautier-prophet-quote-tab-s514663t3
8,https://www.songsterr.com/a/wsa/kittymommy-kelly-watch-the-stars-tab-s514639t6
9,https://www.songsterr.com/a/wsa/rom-bro-that-romper-looks-tite-on-dat-ass-tho-tab-s514528t3
10,https://www.songsterr.com/a/wsa/tremor-funnythrash-tab-s514508t1
11,https://www.songsterr.com/a/wsa/set-to-stun-blackest-night-tab-s514400t3
12,https://www.songsterr.com/a/wsa/wind-wind-tab-s514393t2
13,https://www.songsterr.com/a/wsa/tk-from-ling-tosite-sigure-katharsis-tab-s514312t5
14,https://www.songsterr.com/a/wsa/ben-bevin-felt-tab-s514282t1
15,https://www.songsterr.com/a/wsa/rage-fading-hours-tab-s514260t1
16,https://www.songsterr.com/a/wsa/final-girl-harrison-stockley-s-phone-number-will-soon-be-made-public-tab-s514118t3
17,https://www.songsterr.com/a/wsa/tab-s514062t5
18,https://www.songsterr.com/a/wsa/ben-mason-joey-locastro-song-ben-fucking-around-tab-s513886t1
19,https://www.songsterr.com/a/wsa/tab-s513777t3
20,https://www.songsterr.com/a/wsa/linkin-park-x-in-the-komarovo-mashup-tab-s513775t2
21,https://www.songsterr.com/a/wsa/lac-picard-je-m-excuse-du-delai-je-faisais-une-sieste-tab-s513742t2
22,https://www.songsterr.com/a/wsa/vitor-jazz-1-tab-s513710t6
23,https://www.songsterr.com/a/wsa/28-days-later-in-a-heartbeat-metal-cover-tab-s513669t7
24,https://www.songsterr.com/a/wsa/28-days-later-in-the-house-in-a-heartbeat-metal-cover-tab-s513668t7
25,https://www.songsterr.com/a/wsa/vitor-jazz-1-tab-s513586t6
26,https://www.songsterr.com/a/wsa/vitor-jazz-1-tab-s513584t6
27,https://www.songsterr.com/a/wsa/orion-v-tab-s513553t1
28,https://www.songsterr.com/a/wsa/uverworld-colors-of-the-heart-ver-2-tab-s513443t10
29,https://www.songsterr.com/a/wsa/orion-v-tab-s513385t1
30,https://www.songsterr.com/a/wsa/termina-translucent-tab-s513352t11
31,https://www.songsterr.com/a/wsa/termina-translucent-tab-s513351t8
32,https://www.songsterr.com/a/wsa/vitor-rock-progressivo-tab-s513311t6
33,https://www.songsterr.com/a/wsa/ganzyshka-tab-s513045t9
34,https://www.songsterr.com/a/wsa/trifasica-hin-tab-s512919t3
35,https://www.songsterr.com/a/wsa/all-hallow-s-evil-broken-but-learning-tab-s512894t5
36,https://www.songsterr.com/a/wsa/idioty-pudzian-tab-s512867t6
37,https://www.songsterr.com/a/wsa/acda-qw-tab-s512815t2
