,0
0,https://www.songsterr.com/a/wsa/liam-arellano-quixote-miseria-tab-s515343t4
1,https://www.songsterr.com/a/wsa/sungha-jung-reminiscence-tab-s515328t0
2,https://www.songsterr.com/a/wsa/steve-hansen-daddy-daddy-do-kaguya-sama-love-is-war-s2-op-tab-s515320t0
3,https://www.songsterr.com/a/wsa/ancient-enemy-heist-of-the-scarab-amulet-revised-tab-s515319t1
4,https://www.songsterr.com/a/wsa/impellitteri-fly-away-tab-s515285t2
5,https://www.songsterr.com/a/wsa/buckethead-dancing-in-the-snow-acoustic-tab-s515252t0
6,https://www.songsterr.com/a/wsa/lithium-cold-pizza-tab-s515228t0
7,https://www.songsterr.com/a/wsa/lithium-creation-tab-s515217t1
8,https://www.songsterr.com/a/wsa/metallica-justice-spangled-intro-tab-s515216t0
9,https://www.songsterr.com/a/wsa/tyoma-black-cat-tab-s515215t0
10,https://www.songsterr.com/a/wsa/slaver-test-acoustic-metal-tab-s515209t3
11,https://www.songsterr.com/a/wsa/first-of-october-do-you-want-to-tab-s515208t0
12,https://www.songsterr.com/a/wsa/waterparks-blonde-tab-s515171t2
13,https://www.songsterr.com/a/wsa/unnamed-song-2-tab-s515156t2
14,https://www.songsterr.com/a/wsa/lithium-jack-off-tab-s515068t0
15,https://www.songsterr.com/a/wsa/lithium-shafted-tab-s515067t0
16,https://www.songsterr.com/a/wsa/lithium-my-glass-is-half-empty-tab-s515064t0
17,https://www.songsterr.com/a/wsa/galneryus-raise-my-sword-solo-tab-s515026t0
18,https://www.songsterr.com/a/wsa/candlemass-black-stone-wielder-tab-s514976t1
19,https://www.songsterr.com/a/wsa/tank-walking-barefoot-over-glass-tab-s514966t0
20,https://www.songsterr.com/a/wsa/megumi-nakajima-saturday-night-question-tab-s514958t5
21,https://www.songsterr.com/a/wsa/lithium-oily-hair-tab-s514806t0
22,https://www.songsterr.com/a/wsa/tab-s514720t2
23,https://www.songsterr.com/a/wsa/extreme-play-with-me-solo-tab-s514697t0
24,https://www.songsterr.com/a/wsa/fido-jack-harper-ska-tab-s514680t5
25,https://www.songsterr.com/a/wsa/fido-jack-harper-ska-tab-s514679t2
26,https://www.songsterr.com/a/wsa/fido-jack-harper-indie-tab-s514678t0
27,https://www.songsterr.com/a/wsa/and-end-funeral-waltz-tab-s514669t1
28,https://www.songsterr.com/a/wsa/ethan-kral-silience-tab-s514601t2
29,https://www.songsterr.com/a/wsa/tyoma-the-king-of-judea-tab-s514580t4
30,https://www.songsterr.com/a/wsa/unnamed-song-1-tab-s514571t1
31,https://www.songsterr.com/a/wsa/face-of-death-riot-uncontrol-tab-s514538t1
32,https://www.songsterr.com/a/wsa/polythenes-it-s-so-easy-cover-tab-s514494t1
33,https://www.songsterr.com/a/wsa/rom-pathways-tab-s514468t4
34,https://www.songsterr.com/a/wsa/liam-arellano-quixote-frozen-tab-s514461t2
35,https://www.songsterr.com/a/wsa/jimi-hendrix-all-along-the-watchtower-easy-bass-tab-s514411t2
36,https://www.songsterr.com/a/wsa/fsdkfdhugf-phjsiodfhufiosd-tab-s514404t0
37,https://www.songsterr.com/a/wsa/tk-from-ling-tosite-sigure-katharsis-tab-s514312t8
38,https://www.songsterr.com/a/wsa/sex-pistols-the-great-rock-and-roll-swindle-tab-s514308t1
39,https://www.songsterr.com/a/wsa/lithium-sheep-tab-s514290t0
40,https://www.songsterr.com/a/wsa/rage-let-them-rest-in-peace-tab-s514258t1
41,https://www.songsterr.com/a/wsa/richard-renck-bass-groove-tab-s514249t3
42,https://www.songsterr.com/a/wsa/massacra-seas-of-blood-tab-s514213t0
43,https://www.songsterr.com/a/wsa/hoodini-until-it-pres-tab-s514206t2
44,https://www.songsterr.com/a/wsa/lithium-bludgeoned-tab-s514140t0
45,https://www.songsterr.com/a/wsa/lithium-the-way-i-see-it-tab-s514113t0
46,https://www.songsterr.com/a/wsa/lithium-make-me-cry-tab-s514110t2
47,https://www.songsterr.com/a/wsa/lithium-i-think-we-should-stop-holding-hands-tab-s514109t0
48,https://www.songsterr.com/a/wsa/lithium-extra-numb-tab-s514106t1
49,https://www.songsterr.com/a/wsa/lithium-hate-you-tab-s514105t0
50,https://www.songsterr.com/a/wsa/lithium-for-a-boy-tab-s514104t0
51,https://www.songsterr.com/a/wsa/lithium-anti-optimist-tab-s514103t0
52,https://www.songsterr.com/a/wsa/lithium-out-of-the-blue-tab-s514102t0
53,https://www.songsterr.com/a/wsa/lithium-atmosphere-tab-s514101t4
54,https://www.songsterr.com/a/wsa/lithium-bring-it-all-back-tab-s514100t1
55,https://www.songsterr.com/a/wsa/lithium-i-m-very-smart-tab-s514099t0
56,https://www.songsterr.com/a/wsa/lithium-slack-off-tab-s514093t0
57,https://www.songsterr.com/a/wsa/lithium-idiom-tab-s514092t1
58,https://www.songsterr.com/a/wsa/lithium-fit-tab-s514090t0
59,https://www.songsterr.com/a/wsa/lithium-paracetamol-tab-s514089t1
60,https://www.songsterr.com/a/wsa/kirisute-workin-for-a-livin-cover-tab-s514042t1
61,https://www.songsterr.com/a/wsa/slaver-maiden-scythe-tab-s514034t0
62,https://www.songsterr.com/a/wsa/lazer-lloyd-forget-the-world-esqueca-o-mundo-tab-s514013t2
63,https://www.songsterr.com/a/wsa/nightmare-ochiwa-tab-s513999t4
64,https://www.songsterr.com/a/wsa/deathblower-kult-silenstvi-tab-s513997t3
65,https://www.songsterr.com/a/wsa/lithium-welt-marks-tab-s513995t0
66,https://www.songsterr.com/a/wsa/my-chemical-romance-the-foundations-of-decay-oficial-tab-s513953t1
67,https://www.songsterr.com/a/wsa/slaver-voltage-exposure-nevrosy-tab-s513912t4
68,https://www.songsterr.com/a/wsa/lithium-hourglass-figure-tab-s513888t0
69,https://www.songsterr.com/a/wsa/ben-mason-joey-locastro-song-ben-fucking-around-tab-s513886t4
70,https://www.songsterr.com/a/wsa/nirvana-should-i-stay-or-should-i-go-live-01-16-93-tab-s513855t0
71,https://www.songsterr.com/a/wsa/lithium-nail-tab-s513844t0
72,https://www.songsterr.com/a/wsa/guns-n-roses-sweet-child-o-mine-5-string-bass-tab-s513842t1
73,https://www.songsterr.com/a/wsa/guns-n-roses-well-well-well-my-michellle-tab-s513837t4
74,https://www.songsterr.com/a/wsa/09093847582345-834705823475082374-tab-s513773t1
75,https://www.songsterr.com/a/wsa/galneryus-t-f-f-b-tab-s513751t2
76,https://www.songsterr.com/a/wsa/nightmare-loopain-tab-s513720t2
77,https://www.songsterr.com/a/wsa/wyrmura-sssss-gp5-tab-s513680t1
78,https://www.songsterr.com/a/wsa/bump-of-chicken-bump-of-chicken-tab-s513643t0
79,https://www.songsterr.com/a/wsa/bump-of-chicken-bump-of-chicken-tab-s513641t0
80,https://www.songsterr.com/a/wsa/bump-of-chicken-bump-of-chicken-tab-s513639t0
81,https://www.songsterr.com/a/wsa/bump-of-chicken-bump-of-chicken-tab-s513638t1
82,https://www.songsterr.com/a/wsa/witchcraft-an-alternative-to-freedom-tab-s513600t3
83,https://www.songsterr.com/a/wsa/boc-boc-tab-s513595t1
84,https://www.songsterr.com/a/wsa/zxcvbn-zxcvbn-tab-s513591t1
85,https://www.songsterr.com/a/wsa/zxcvbn-zxcvbn-tab-s513590t1
86,https://www.songsterr.com/a/wsa/zxcvb-zxcvb-tab-s513468t1
87,https://www.songsterr.com/a/wsa/zxcvb-zxcvb-tab-s513466t1
88,https://www.songsterr.com/a/wsa/fdfd-fdfd-tab-s513461t0
89,https://www.songsterr.com/a/wsa/dfdf-dfdf-tab-s513460t1
90,https://www.songsterr.com/a/wsa/cv-cv-tab-s513458t0
91,https://www.songsterr.com/a/wsa/asdfghj-asdfghj-tab-s513457t0
92,https://www.songsterr.com/a/wsa/asdfghj-asdfghj-tab-s513456t0
93,https://www.songsterr.com/a/wsa/asdfghj-asdfghj-tab-s513455t1
94,https://www.songsterr.com/a/wsa/asdfghj-asdfghj-tab-s513454t1
95,https://www.songsterr.com/a/wsa/qwrty-qwerty-tab-s513442t1
96,https://www.songsterr.com/a/wsa/hgfda-asfgh-tab-s513441t0
97,https://www.songsterr.com/a/wsa/hgfdsa-hgfdsa-tab-s513440t1
98,https://www.songsterr.com/a/wsa/gfdsa-gfdsa-tab-s513439t1
99,https://www.songsterr.com/a/wsa/gfdsa-gfdsa-tab-s513430t1
100,https://www.songsterr.com/a/wsa/asdfg-asdfg-tab-s513429t1
101,https://www.songsterr.com/a/wsa/klklklkl-klklklklk-tab-s513427t0
102,https://www.songsterr.com/a/wsa/gfdsa-gfdsa-tab-s513425t1
103,https://www.songsterr.com/a/wsa/zxcvb-zxcvb-tab-s513423t0
104,https://www.songsterr.com/a/wsa/asdfg-gfdsa-tab-s513422t1
105,https://www.songsterr.com/a/wsa/asdf-fdsa-tab-s513420t1
106,https://www.songsterr.com/a/wsa/lithium-scum-tab-s513400t0
107,https://www.songsterr.com/a/wsa/suffering-soul-scars-tab-s513303t3
108,https://www.songsterr.com/a/wsa/decharot-test-tab-s513263t1
109,https://www.songsterr.com/a/wsa/katawa-shoujo-painful-history-tab-s513248t0
110,https://www.songsterr.com/a/wsa/misc-unsigned-bands-mild-stallion-mr-brighside-cover-tab-s513230t1
111,https://www.songsterr.com/a/wsa/misc-unsigned-bands-mild-stallion-all-these-things-that-i-ve-done-cover-tab-s513227t2
112,https://www.songsterr.com/a/wsa/ayabie-dramatic-tab-s513084t0
113,https://www.songsterr.com/a/wsa/slaver-test-tab-s513059t0
114,https://www.songsterr.com/a/wsa/misc-unsigned-bands-mild-stallion-jenny-was-a-friend-of-mine-cover-tab-s512982t1
115,https://www.songsterr.com/a/wsa/misc-unsigned-bands-mild-stallion-read-my-mind-cover-tab-s512978t1
116,https://www.songsterr.com/a/wsa/elder-halcyon-tab-s512968t10
117,https://www.songsterr.com/a/wsa/lahio-hoitajat-emma-tiia-iha-sama-tab-s512916t1
118,https://www.songsterr.com/a/wsa/vidoll-ningyo-tab-s512888t0
119,https://www.songsterr.com/a/wsa/misc-unsigned-bands-mild-stallion-spaceman-cover-tab-s512884t0
120,https://www.songsterr.com/a/wsa/misc-unsigned-bands-mild-stallion-when-you-were-young-cover-tab-s512882t1
121,https://www.songsterr.com/a/wsa/misc-unsigned-bands-mild-stallion-somebody-told-me-cover-tab-s512881t0
122,https://www.songsterr.com/a/wsa/ramdidam-flashbacks-tab-s512877t0
123,https://www.songsterr.com/a/wsa/gamma-ray-empress-by-xpavlov-tab-s512832t0
124,https://www.songsterr.com/a/wsa/kiss-detroit-rock-city-acustico-ola-joako-tab-s512826t0
125,https://www.songsterr.com/a/wsa/almost-down-the-plan-tab-s512805t7
126,https://www.songsterr.com/a/wsa/liam-arellano-quixote-2022-tab-s512801t0
127,https://www.songsterr.com/a/wsa/magnolia-park-don-t-be-racist-tab-s512800t3
128,https://www.songsterr.com/a/wsa/guns-and-roses-guns-n-roses-patience-120bpm-tab-s512774t1
129,https://www.songsterr.com/a/wsa/guns-and-roses-guns-n-roses-patience-120bpm-tab-s512773t1
130,https://www.songsterr.com/a/wsa/guns-and-roses-guns-n-roses-patience-100bpm-tab-s512772t1
131,https://www.songsterr.com/a/wsa/guns-and-roses-guns-n-roses-patience-80bpm-tab-s512771t1
132,https://www.songsterr.com/a/wsa/guns-and-roses-guns-n-roses-patience-60bpm-tab-s512770t1
133,https://www.songsterr.com/a/wsa/lithium-heat-throb-tab-s512751t0
134,https://www.songsterr.com/a/wsa/almost-down-frisky-breeze-tab-s512698t1
135,https://www.songsterr.com/a/wsa/tyoma-enigma-tab-s512680t0
136,https://www.songsterr.com/a/wsa/stratovarius-against-the-wind-ver-2-tab-s512626t1
137,https://www.songsterr.com/a/wsa/red-hot-chili-peppers-black-summer-v3-tab-s512584t5
138,https://www.songsterr.com/a/wsa/its-always-you-falling-off-our-seats-tab-s512571t1
139,https://www.songsterr.com/a/wsa/knuckle-puck-no-good-tab-s512559t2
140,https://www.songsterr.com/a/wsa/staind-so-far-away-guitar-only-tab-s512534t1
141,https://www.songsterr.com/a/wsa/tyoma-boom-tab-s512499t0
142,https://www.songsterr.com/a/wsa/tyoma-vecna-tab-s512493t1
143,https://www.songsterr.com/a/wsa/almost-down-remember-me-tab-s512468t1
144,https://www.songsterr.com/a/wsa/kalopsia-crianca-trabalham-definitivo-tab-s512467t0
145,https://www.songsterr.com/a/wsa/kalo-crianca-trabalham-definitivo-tab-s512466t3
146,https://www.songsterr.com/a/wsa/synqqq-feat-fit4-tab-s512416t0
147,https://www.songsterr.com/a/wsa/dfslkndsfho-pjopsdhfioh-tab-s512400t2
148,https://www.songsterr.com/a/wsa/galneryus-tear-off-your-chain-tab-s512380t0
149,https://www.songsterr.com/a/wsa/galneryus-ultimate-sacrifice-tab-s512374t2
150,https://www.songsterr.com/a/wsa/tom-donahue-bullet-with-butterfly-wings-tab-s512367t3
151,https://www.songsterr.com/a/wsa/joe-satriani-faceless-tab-s512348t0
152,https://www.songsterr.com/a/wsa/tom-donahue-knockin-on-heaven-s-door-tab-s512338t3
153,https://www.songsterr.com/a/wsa/vlad-i-vadim-freezing-tab-s512323t0
154,https://www.songsterr.com/a/wsa/zxcv-zxcv-tab-s512288t0
155,https://www.songsterr.com/a/wsa/zxco-zxco-tab-s512287t1
156,https://www.songsterr.com/a/wsa/zxc-zxc-tab-s512286t0
157,https://www.songsterr.com/a/wsa/sorry-stereo-k-myself-drunk-tab-s512250t3
158,https://www.songsterr.com/a/wsa/firework-tab-s512237t0
159,https://www.songsterr.com/a/wsa/red-vox-choking-on-the-spite-tab-s512218t1
160,https://www.songsterr.com/a/wsa/adflkhadfo-pjopihfdiohs-tab-s512216t3
161,https://www.songsterr.com/a/wsa/dfslkfsdhguogfds-jopdsfu90dfs-tab-s512204t1
162,https://www.songsterr.com/a/wsa/dark-funeral-666-voices-inside-tab-s512184t0
163,https://www.songsterr.com/a/wsa/po-po-tab-s512169t1
164,https://www.songsterr.com/a/wsa/pl-pl-tab-s512166t1
165,https://www.songsterr.com/a/wsa/qa-qa-tab-s512165t1
166,https://www.songsterr.com/a/wsa/qwr-qwr-tab-s512163t1
167,https://www.songsterr.com/a/wsa/good-charlotte-the-anthem-rocksmith2014-tab-s512139t0
168,https://www.songsterr.com/a/wsa/my-chemical-romance-kiss-the-ring-tab-s512132t0
169,https://www.songsterr.com/a/wsa/lampadina-knup-ozzep-tab-s512122t0
170,https://www.songsterr.com/a/wsa/tyoma-the-lion-s-den-tab-s512105t3
171,https://www.songsterr.com/a/wsa/halloween-night-misc-bridge-i-tab-s512096t4
172,https://www.songsterr.com/a/wsa/qw-qw-tab-s512086t1
173,https://www.songsterr.com/a/wsa/arc-systems-works-the-disaster-of-passion-tab-s512074t0
174,https://www.songsterr.com/a/wsa/jonathan-heavy-metalcore-1-tab-s512040t1
175,https://www.songsterr.com/a/wsa/tom-donahue-november-rain-tab-s511970t1
176,https://www.songsterr.com/a/wsa/metallica-blackened-no-complet-tab-s511936t1
177,https://www.songsterr.com/a/wsa/metallica-havester-of-sorrow-no-full-tab-s511932t1
178,https://www.songsterr.com/a/wsa/depressed-sandman-k-no-drums-tab-s511930t0
179,https://www.songsterr.com/a/wsa/metallica-damage-inc-no-full-tab-s511916t0
180,https://www.songsterr.com/a/wsa/misfits-american-psycho-2-tab-s511905t1
181,https://www.songsterr.com/a/wsa/lucas-avila-upload-unravel-tab-s511894t8
182,https://www.songsterr.com/a/wsa/lucas-avila-upload-enigmatic-feeling-tab-s511893t3
183,https://www.songsterr.com/a/wsa/lucas-avila-upload-telecastic-fake-show-tab-s511892t3
184,https://www.songsterr.com/a/wsa/lucas-avila-upload-disco-flight-tab-s511891t0
185,https://www.songsterr.com/a/wsa/lucas-avila-upload-abnormalize-tab-s511890t0
186,https://www.songsterr.com/a/wsa/lucas-avila-upload-souzou-no-security-tab-s511889t1
187,https://www.songsterr.com/a/wsa/lucas-avila-just-upload-beatiful-circus-tab-s511888t1
188,https://www.songsterr.com/a/wsa/misfits-dr-phibes-rises-again-tab-s511850t1
189,https://www.songsterr.com/a/wsa/corey-taylor-spit-it-out-acoustic-tab-s511834t0
190,https://www.songsterr.com/a/wsa/tom-donahue-sweet-c-tab-s511833t3
191,https://www.songsterr.com/a/wsa/black-sabbath-ancient-warrior-tab-s511827t0
192,https://www.songsterr.com/a/wsa/embryo-un-known-desires-tab-s511812t3
193,https://www.songsterr.com/a/wsa/charlie-brown-jr-vicios-e-virtudes-tab-s511776t0
194,https://www.songsterr.com/a/wsa/lkdsfhiofdsh-hioahdf8fa8d9g-tab-s511775t3
195,https://www.songsterr.com/a/wsa/galneryus-ultimate-sacrifice-solo-tab-s511773t0
196,https://www.songsterr.com/a/wsa/fearfounder-rising-of-the-powers-tab-s511760t5
197,https://www.songsterr.com/a/wsa/chinaski-kafe-s-mlikem-tab-s511749t1
198,https://www.songsterr.com/a/wsa/sdjhdsfoihio-pjiowehiohfsd-tab-s511740t0
199,https://www.songsterr.com/a/wsa/stratovarius-speed-of-light-lick-tab-s511723t0
200,https://www.songsterr.com/a/wsa/passeise-chant-for-tribulation-tab-s511709t0
201,https://www.songsterr.com/a/wsa/tom-donahue-paradise-city-tab-s511673t3
202,https://www.songsterr.com/a/wsa/olegos-test-tab-s511657t1
203,https://www.songsterr.com/a/wsa/tyoma-uncharted-tab-s511653t0
204,https://www.songsterr.com/a/wsa/halloween-night-dead-by-day-alive-by-night-tab-s511557t4
205,https://www.songsterr.com/a/wsa/stupid-fuck-7098374109823740981275093465912349-823-tab-s511556t0
206,https://www.songsterr.com/a/wsa/hishdfio-jihfdofgsdu-tab-s511539t2
207,https://www.songsterr.com/a/wsa/fall-of-troy-chain-wallet-nike-shoes-tab-s511537t0
208,https://www.songsterr.com/a/wsa/quixote-spectra-nombre-clave-tab-s511527t0
209,https://www.songsterr.com/a/wsa/buckethead-idea-probably-innacurate-tab-s511504t0
210,https://www.songsterr.com/a/wsa/lampadina-osselfir-li-tab-s511501t0
211,https://www.songsterr.com/a/wsa/cruel-force-deathstrike-tab-s511488t0
212,https://www.songsterr.com/a/wsa/cruel-force-infernal-winds-tab-s511487t1
213,https://www.songsterr.com/a/wsa/cruel-force-leather-and-metal-tab-s511486t0
214,https://www.songsterr.com/a/wsa/cruel-force-chants-of-mayhem-tab-s511485t1
