,0
0,https://www.songsterr.com/a/wsa/slipknot-snuff-tab-s35673t1
1,https://www.songsterr.com/a/wsa/pantera-floods-tab-s84836t3
2,https://www.songsterr.com/a/wsa/black-sabbath-into-the-void-tab-s2709t2
3,https://www.songsterr.com/a/wsa/a-perfect-circle-freedom-of-choice-tab-s1239t1
4,https://www.songsterr.com/a/wsa/a-perfect-circle-crimes-tab-s916t1
5,https://www.songsterr.com/a/wsa/a-perfect-circle-the-noose-tab-s1208t5
6,https://www.songsterr.com/a/wsa/a-perfect-circle-when-the-levee-breaks-tab-s1216t5
7,https://www.songsterr.com/a/wsa/a-perfect-circle-lullaby-tab-s960t3
8,https://www.songsterr.com/a/wsa/black-sabbath-killing-yourself-to-live-tab-s2574t0
9,https://www.songsterr.com/a/wsa/cky-camp-kill-yourself-to-all-of-you-tab-s4742t0
10,https://www.songsterr.com/a/wsa/hoagy-carmichael-dark-army-tab-s4186t0
11,https://www.songsterr.com/a/wsa/composers-of-msb-etude-1-tab-s3791t2
12,https://www.songsterr.com/a/wsa/composers-of-msb-melodic-ii-tab-s4200t1
13,https://www.songsterr.com/a/wsa/dark-ecstasy-uh-what-tab-s6562t0
14,https://www.songsterr.com/a/wsa/tab-s7242t4
15,https://www.songsterr.com/a/wsa/heavy-competition-10-harmonius-disembowelment-specters-of-death-tab-s9339t4
16,https://www.songsterr.com/a/wsa/heavy-competition-8-run-by-the-night-tab-s9184t1
17,https://www.songsterr.com/a/wsa/jason-w-disliked-tab-s10423t2
18,https://www.songsterr.com/a/wsa/metaltrooper88-dalaran-tab-s12715t1
19,https://www.songsterr.com/a/wsa/mustainerules-befallen-be-gone-tab-s13019t2
20,https://www.songsterr.com/a/wsa/jun-onose-twisted-dreams-tab-s15495t4
21,https://www.songsterr.com/a/wsa/snakker-realization-tab-s19087t6
22,https://www.songsterr.com/a/wsa/damm-festival-aprehension-and-apathy-tab-s20092t0
23,https://www.songsterr.com/a/wsa/uglyz-maya-tab-s21546t0
24,https://www.songsterr.com/a/wsa/underhell-heretic-jesus-tab-s21583t0
25,https://www.songsterr.com/a/wsa/a-perfect-circle-thinking-of-you-tab-s1232t2
26,https://www.songsterr.com/a/wsa/a-perfect-circle-blue-tab-s1285t4
27,https://www.songsterr.com/a/wsa/a-perfect-circle-vanishing-tab-s1000t1
28,https://www.songsterr.com/a/wsa/a-perfect-circle-the-package-tab-s1315t0
29,https://www.songsterr.com/a/wsa/a-perfect-circle-magdalena-tab-s915t4
30,https://www.songsterr.com/a/wsa/a-perfect-circle-pet-tab-s898t5
31,https://www.songsterr.com/a/wsa/blink-182-time-to-break-up-tab-s3146t1
32,https://www.songsterr.com/a/wsa/coma-sierpien-tab-s4039t1
33,https://www.songsterr.com/a/wsa/composers-of-msb-the-man-of-steel-and-stone-tab-s4164t2
34,https://www.songsterr.com/a/wsa/chevelle-comfortable-liar-tab-s5064t0
35,https://www.songsterr.com/a/wsa/dreammaker-killing-tab-s6378t2
36,https://www.songsterr.com/a/wsa/dir-en-grey-the-domestic-fucker-family-tab-s6670t2
37,https://www.songsterr.com/a/wsa/dir-en-grey-gyakujou-tannou-keloid-milk-tab-s6509t1
38,https://www.songsterr.com/a/wsa/fire-prism-still-tab-s7401t1
39,https://www.songsterr.com/a/wsa/hugo-of-fiddle-mord-tab-s9228t0
40,https://www.songsterr.com/a/wsa/wisniak-def-brut-tab-s515354t0
41,https://www.songsterr.com/a/wsa/ivan-arnaud-garza-winternight-song-tab-s9722t5
42,https://www.songsterr.com/a/wsa/kudos-triple-x-tab-s10798t7
43,https://www.songsterr.com/a/wsa/jun-onose-resist-bullet-tab-s15620t1
44,https://www.songsterr.com/a/wsa/oxl-hittentit-tab-s16002t2
45,https://www.songsterr.com/a/wsa/sads-hate-tab-s18002t3
46,https://www.songsterr.com/a/wsa/christmas-we-wish-you-a-marry-christmas-tab-s4486t0
47,https://www.songsterr.com/a/wsa/a-perfect-circle-over-tab-s24540t1
48,https://www.songsterr.com/a/wsa/a-perfect-circle-sleeping-beauty-tab-s24539t2
49,https://www.songsterr.com/a/wsa/a-perfect-circle-renholder-tab-s24541t4
50,https://www.songsterr.com/a/wsa/a-perfect-circle-rose-tab-s24547t1
51,https://www.songsterr.com/a/wsa/a-perfect-circle-brena-tab-s24546t4
52,https://www.songsterr.com/a/wsa/black-sabbath-time-is-mine-tab-s26906t0
53,https://www.songsterr.com/a/wsa/black-sabbath-psycho-man-tab-s26927t0
54,https://www.songsterr.com/a/wsa/black-sabbath-st-vitus-dance-tab-s26935t1
55,https://www.songsterr.com/a/wsa/blood-duster-vulgar-taste-tab-s27145t0
56,https://www.songsterr.com/a/wsa/bruce-springsteen-dancing-in-the-dark-tab-s27480t0
57,https://www.songsterr.com/a/wsa/alternative-competition-4-reaching-horizons-tab-s887t3
58,https://www.songsterr.com/a/wsa/composers-of-msb-d-flat-minor-preludium-tab-s3800t5
59,https://www.songsterr.com/a/wsa/dir-en-grey-karasu-tab-s5408t1
60,https://www.songsterr.com/a/wsa/msb-competition-sep-oct-2005-the-equation-of-time-tab-s12377t4
61,https://www.songsterr.com/a/wsa/van-halen-one-foot-out-the-door-tab-s21344t0
