,0
0,https://www.songsterr.com/a/wsa/i-tab-s515352t0
1,https://www.songsterr.com/a/wsa/nobody-one-i-am-the-mass-tab-s515205t2
2,https://www.songsterr.com/a/wsa/skull-devil-sodomizer-tab-s515153t0
3,https://www.songsterr.com/a/wsa/skull-devil-perversion-crypt-tab-s515152t1
4,https://www.songsterr.com/a/wsa/skull-devil-mortuary-chamber-tab-s515150t1
5,https://www.songsterr.com/a/wsa/skull-devil-purulent-flesh-tab-s515149t2
6,https://www.songsterr.com/a/wsa/125134634-1461346134-tab-s514737t1
7,https://www.songsterr.com/a/wsa/valhalladante-cycles-of-aurora-tab-s514695t16
8,https://www.songsterr.com/a/wsa/sm-dsm-tab-s514618t1
9,https://www.songsterr.com/a/wsa/surreal-state-morbid-reincarnation-tab-s514567t0
10,https://www.songsterr.com/a/wsa/skd-dm12-tab-s514552t0
11,https://www.songsterr.com/a/wsa/120-tab-s514454t0
12,https://www.songsterr.com/a/wsa/ass-flavour-syphilis-tab-s514436t1
13,https://www.songsterr.com/a/wsa/wisniak-suffer-through-the-light-3-tab-s514413t3
14,https://www.songsterr.com/a/wsa/tab-s514374t2
15,https://www.songsterr.com/a/wsa/type-o-negative-black-no-1-ver-2-tab-s514351t2
16,https://www.songsterr.com/a/wsa/bethlehem-apheldie-schwarze-schlange-vers3-tab-s514157t1
17,https://www.songsterr.com/a/wsa/bethlehem-aphel-die-schwarze-schlange-vers2-tab-s514156t2
18,https://www.songsterr.com/a/wsa/dsvdsv-advdaf-tab-s513985t1
19,https://www.songsterr.com/a/wsa/convulsor-portals-from-beyond-tab-s512787t2
20,https://www.songsterr.com/a/wsa/convulsor-master-of-chaos-tab-s512786t0
21,https://www.songsterr.com/a/wsa/rammstein-sonne-drop-a-tab-s512762t4
22,https://www.songsterr.com/a/wsa/black-midi-953-tab-s512582t0
23,https://www.songsterr.com/a/wsa/tetragrammacide-prognosticators-of-trans-yuggothian-meta-reasoning-tab-s512567t1
24,https://www.songsterr.com/a/wsa/digested-flesh-bucket-of-afterbirth-by-jnsrkr-tab-s512491t1
25,https://www.songsterr.com/a/wsa/decaying-purity-defilement-of-the-deranged-tab-s512482t1
26,https://www.songsterr.com/a/wsa/digested-flesh-bucket-of-afterbirth-tab-s512443t1
27,https://www.songsterr.com/a/wsa/digested-flesh-bucket-of-afterbirth-tab-s512442t0
28,https://www.songsterr.com/a/wsa/j-p-n-bloom-tab-s512408t4
29,https://www.songsterr.com/a/wsa/ocean-collective-devonian-nascent-tab-s512109t4
30,https://www.songsterr.com/a/wsa/ass-flavour-ghoul-miasma-tab-s511898t0
31,https://www.songsterr.com/a/wsa/antestor-a-sovereign-fortress-tab-s511732t2
32,https://www.songsterr.com/a/wsa/ass-flavour-the-nameless-assassin-tab-s511672t1
33,https://www.songsterr.com/a/wsa/bakynsified-tab-s511498t0
34,https://www.songsterr.com/a/wsa/logenery-nemesis-tab-s511449t3
35,https://www.songsterr.com/a/wsa/amon-amarth-the-pursuit-of-vikings-main-riffs-only-tab-s511430t2
36,https://www.songsterr.com/a/wsa/merten-feel-nothing-tab-s511369t2
37,https://www.songsterr.com/a/wsa/evilotomy-sorow-tab-s511305t4
38,https://www.songsterr.com/a/wsa/type-o-negative-black-nr-1-tab-s511111t2
39,https://www.songsterr.com/a/wsa/merten-stealth-perfected-tab-s510899t4
40,https://www.songsterr.com/a/wsa/gaakstoner-01-tab-s510792t6
41,https://www.songsterr.com/a/wsa/eucharist-march-of-insurrection-tab-s510768t2
42,https://www.songsterr.com/a/wsa/tab-s510729t0
43,https://www.songsterr.com/a/wsa/arsames-persepolis-tab-s509873t0
44,https://www.songsterr.com/a/wsa/type-o-negative-blood-fire-1-tab-s509619t2
45,https://www.songsterr.com/a/wsa/susi-vc-tab-s509525t0
46,https://www.songsterr.com/a/wsa/162-tab-s509318t0
47,https://www.songsterr.com/a/wsa/ministry-broken-tab-s509291t3
48,https://www.songsterr.com/a/wsa/mawinswag-b-r-tab-s509284t0
49,https://www.songsterr.com/a/wsa/dblb-bartpn-tab-s509089t0
50,https://www.songsterr.com/a/wsa/ass-flavour-nova-04-tab-s508954t0
51,https://www.songsterr.com/a/wsa/goethia-ylsa-tab-s508802t0
52,https://www.songsterr.com/a/wsa/vehemence-she-never-noticed-me-tab-s508714t2
53,https://www.songsterr.com/a/wsa/fjjbh-uhuhuhhuh-tab-s508693t0
54,https://www.songsterr.com/a/wsa/oomph-ich-will-deine-seele-1-tab-s508430t5
55,https://www.songsterr.com/a/wsa/oomph-ich-will-deine-seele-tab-s508429t7
56,https://www.songsterr.com/a/wsa/type-o-negative-life-is-killing-me-tab-s508402t3
57,https://www.songsterr.com/a/wsa/orcophagous-fabricating-the-ludicrous-tab-s508395t5
58,https://www.songsterr.com/a/wsa/blood-bath-and-beyond-hold-it-against-me-tab-s508388t1
59,https://www.songsterr.com/a/wsa/ass-flavour-intro-tab-s508189t0
60,https://www.songsterr.com/a/wsa/ass-flavour-gathering-tab-s508067t1
61,https://www.songsterr.com/a/wsa/stefano-lombardi-rising-vengeance-tab-s508000t4
62,https://www.songsterr.com/a/wsa/face-of-death-fleshed-tab-s507913t4
63,https://www.songsterr.com/a/wsa/silence-dead-tab-s507874t3
64,https://www.songsterr.com/a/wsa/ass-flavour-nova-03-tab-s507853t1
65,https://www.songsterr.com/a/wsa/ass-flavour-nova-02-tab-s507851t1
66,https://www.songsterr.com/a/wsa/ass-flavour-nova-01-tab-s507848t1
67,https://www.songsterr.com/a/wsa/ass-flavour-wipe-the-asshole-out-tab-s507771t0
68,https://www.songsterr.com/a/wsa/ass-flavour-overwhelming-scum-tab-s507770t1
69,https://www.songsterr.com/a/wsa/blustery-caveat-payback-in-brutality-tab-s507645t0
70,https://www.songsterr.com/a/wsa/test-2-serial-cocksucker-part-1-tab-s507353t0
71,https://www.songsterr.com/a/wsa/idk-this-is-a-test-test-tab-s507347t0
72,https://www.songsterr.com/a/wsa/ass-flavour-to-saw-skull-tab-s507093t0
73,https://www.songsterr.com/a/wsa/aborted-enigma-betka-tab-s506962t0
74,https://www.songsterr.com/a/wsa/type-o-negative-christian-woman-1-tab-s506933t0
75,https://www.songsterr.com/a/wsa/asd-asd-asd-asdasd-asd-asd-tab-s506915t0
76,https://www.songsterr.com/a/wsa/skyforg3r-prototype-2-tab-s506865t0
77,https://www.songsterr.com/a/wsa/rodolfo-alvim-ideia-1-3-tab-s506840t1
78,https://www.songsterr.com/a/wsa/type-o-negative-christian-woman-test-tab-s506662t0
79,https://www.songsterr.com/a/wsa/bloodbath-drink-from-the-cup-of-heresy-tab-s506424t0
80,https://www.songsterr.com/a/wsa/diablo-in-sorrow-we-trust-ver-2-tab-s506423t4
81,https://www.songsterr.com/a/wsa/ass-flavour-goremet-tab-s506376t1
82,https://www.songsterr.com/a/wsa/ass-flavour-giving-flesh-to-the-grave-tab-s506053t0
83,https://www.songsterr.com/a/wsa/ass-flavour-carcinomas-tab-s506039t0
84,https://www.songsterr.com/a/wsa/ass-flavour-necropsy-into-the-kitchen-tab-s506034t0
85,https://www.songsterr.com/a/wsa/ass-flavour-excreted-tab-s505985t1
86,https://www.songsterr.com/a/wsa/ass-flavour-gore-serious-disease-tab-s505983t1
87,https://www.songsterr.com/a/wsa/skyforg3r-prototype-1-tab-s505980t1
88,https://www.songsterr.com/a/wsa/ass-flavour-genital-hernia-hurts-tab-s505976t1
89,https://www.songsterr.com/a/wsa/ass-flavour-motherfuckin-chainsaw-tab-s505969t1
90,https://www.songsterr.com/a/wsa/ass-flavour-walking-corpse-syndrome-tab-s505967t0
91,https://www.songsterr.com/a/wsa/avatar-barren-cloth-mother-intro-tab-s505960t1
92,https://www.songsterr.com/a/wsa/fear-factory-escape-confusion-fixed-tab-s505898t1
93,https://www.songsterr.com/a/wsa/sckitp-350-tab-s505508t1
94,https://www.songsterr.com/a/wsa/nyvar-riffesen-tab-s504955t3
95,https://www.songsterr.com/a/wsa/nyvar-riffesen-nye-riff-til-prosjekt-kanskje-hmm-tab-s504639t2
96,https://www.songsterr.com/a/wsa/amon-amarth-put-your-back-into-the-oar-tab-s504544t1
97,https://www.songsterr.com/a/wsa/pictures-inside-me-tab-s504483t0
