,0
0,https://www.songsterr.com/a/wsa/v2-tab-s515359t1
1,https://www.songsterr.com/a/wsa/tab-s515357t0
2,https://www.songsterr.com/a/wsa/scorpions-shoot-for-the-heart-tab-s515350t4
3,https://www.songsterr.com/a/wsa/tab-s515349t0
4,https://www.songsterr.com/a/wsa/snougy-math-rocks-wip-tab-s515346t0
5,https://www.songsterr.com/a/wsa/darkcloud-sharp-driver-version-distorsion-tab-s515341t0
6,https://www.songsterr.com/a/wsa/darkcloud-sharp-driver-tab-s515340t0
7,https://www.songsterr.com/a/wsa/steve-hansen-tomorrow-konosuba-2-tab-s515338t0
8,https://www.songsterr.com/a/wsa/steve-hansen-rightfully-goblin-slayer-op-tab-s515337t0
9,https://www.songsterr.com/a/wsa/steve-hansen-one-room-sugar-life-happy-sugar-life-op-tab-s515336t0
10,https://www.songsterr.com/a/wsa/steve-hansen-kawaki-wo-ameku-domestic-na-kanojo-op-tab-s515333t0
11,https://www.songsterr.com/a/wsa/steve-hansen-fukashigi-no-carte-seibuta-ed-tab-s515332t0
12,https://www.songsterr.com/a/wsa/steve-hansen-error-beatless-op-tab-s515331t0
13,https://www.songsterr.com/a/wsa/steve-hansen-inferno-fire-force-enen-no-shouboutai-op-tab-s515329t0
14,https://www.songsterr.com/a/wsa/me-random-solo-sixteen-tab-s515325t1
15,https://www.songsterr.com/a/wsa/steeler-sent-from-the-evil-tab-s515322t1
16,https://www.songsterr.com/a/wsa/dsad1-121a-tab-s515318t0
17,https://www.songsterr.com/a/wsa/tab-s515317t1
18,https://www.songsterr.com/a/wsa/tab-s515316t1
19,https://www.songsterr.com/a/wsa/tab-s515315t4
20,https://www.songsterr.com/a/wsa/tab-s515314t2
21,https://www.songsterr.com/a/wsa/steve-hansen-escape-darling-in-the-franxx-ed5-tab-s515313t0
22,https://www.songsterr.com/a/wsa/tab-s515312t2
23,https://www.songsterr.com/a/wsa/blue-october-drilled-a-wire-through-my-cheek-tab-s515311t5
24,https://www.songsterr.com/a/wsa/misc-computer-games-team-fortress-2-medic-tab-s515310t13
25,https://www.songsterr.com/a/wsa/misc-computer-games-team-fortress-2-drunken-pipe-bomb-tab-s515308t9
26,https://www.songsterr.com/a/wsa/tab-s515307t3
27,https://www.songsterr.com/a/wsa/tab-s515304t0
28,https://www.songsterr.com/a/wsa/unnamed-song-2-test-3-tab-s515301t1
29,https://www.songsterr.com/a/wsa/jose-madero-rompope-para-uno-tab-s515300t5
30,https://www.songsterr.com/a/wsa/jose-madero-noche-de-baile-tab-s515299t3
31,https://www.songsterr.com/a/wsa/krokus-rockin-in-the-free-world-tab-s515298t2
32,https://www.songsterr.com/a/wsa/kingdom-come-stargazer-tab-s515297t0
33,https://www.songsterr.com/a/wsa/wallaxe-rondaaaaa-tab-s515296t1
34,https://www.songsterr.com/a/wsa/wallaxe-hole-holes-tab-s515292t1
35,https://www.songsterr.com/a/wsa/cris-peace-tab-s515290t2
36,https://www.songsterr.com/a/wsa/rhcp-medley-2-tab-s515283t0
37,https://www.songsterr.com/a/wsa/rhcp-medley-tab-s515281t0
38,https://www.songsterr.com/a/wsa/richard-walsh-deth-stunts-tab-s515280t0
39,https://www.songsterr.com/a/wsa/poppy-playtime-it-s-playtime-guitar-version-tab-s515276t1
40,https://www.songsterr.com/a/wsa/poppy-playtime-chapter-1-it-s-playtime-tab-s515275t0
41,https://www.songsterr.com/a/wsa/1-tab-s515274t2
42,https://www.songsterr.com/a/wsa/flinch-jackal-paul-allen-tab-s515272t1
43,https://www.songsterr.com/a/wsa/verde-70-en-la-inmensidad-beta-tab-s515269t2
44,https://www.songsterr.com/a/wsa/pathaway-time-to-take-this-to-the-grave-tab-s515268t6
45,https://www.songsterr.com/a/wsa/maneskin-supermodel-tab-s515267t2
46,https://www.songsterr.com/a/wsa/glistening-world-ending-reverie-tab-s515266t0
47,https://www.songsterr.com/a/wsa/glistening-it-is-better-to-be-nothing-than-to-be-anything-tab-s515265t1
48,https://www.songsterr.com/a/wsa/glistening-i-no-longer-need-tab-s515264t2
49,https://www.songsterr.com/a/wsa/glistening-distant-realm-of-bygone-sorrow-tab-s515263t0
50,https://www.songsterr.com/a/wsa/glistening-broken-circle-tab-s515262t0
51,https://www.songsterr.com/a/wsa/glistening-billions-of-agonized-beings-tab-s515261t0
52,https://www.songsterr.com/a/wsa/glistening-a-dying-fathers-last-wish-tab-s515260t1
53,https://www.songsterr.com/a/wsa/seank-macaroni-tab-s515258t2
