,0
0,https://www.songsterr.com/a/wsa/muse-psycho-tab-s397217t3
1,https://www.songsterr.com/a/wsa/muse-plug-in-baby-tab-s1368t2
2,https://www.songsterr.com/a/wsa/tool-vicarious-tab-s56870t2
3,https://www.songsterr.com/a/wsa/tool-schism-tab-s6700t5
4,https://www.songsterr.com/a/wsa/audioslave-1-zero-tab-s2008t4
5,https://www.songsterr.com/a/wsa/daft-punk-human-after-all-tab-s5744t2
6,https://www.songsterr.com/a/wsa/gunnprice-spiral-down-tab-s8577t0
7,https://www.songsterr.com/a/wsa/messengers-of-doom-m-o-d-last-building-tab-s13095t0
8,https://www.songsterr.com/a/wsa/morrissey-let-me-kiss-you-tab-s13440t2
9,https://www.songsterr.com/a/wsa/muse-tsp-tab-s13294t1
10,https://www.songsterr.com/a/wsa/queens-of-the-stone-age-give-the-mule-what-he-wants-tab-s16289t5
11,https://www.songsterr.com/a/wsa/red-alert-grinder-tab-s16712t1
12,https://www.songsterr.com/a/wsa/scorpions-white-dove-tab-s17452t6
13,https://www.songsterr.com/a/wsa/slut-global-cut-tab-s18189t5
14,https://www.songsterr.com/a/wsa/rage-against-the-machine-pistol-grip-pump-tab-s22036t2
15,https://www.songsterr.com/a/wsa/composers-of-msb-razor-tab-s5070t4
16,https://www.songsterr.com/a/wsa/letter-kills-lights-out-tab-s11808t2
17,https://www.songsterr.com/a/wsa/steve-vai-kill-the-guy-with-the-ball-the-god-eaters-tab-s21307t9
18,https://www.songsterr.com/a/wsa/nofx-one-celled-creature-tab-s22780t3
19,https://www.songsterr.com/a/wsa/chemical-brothers-let-forever-be-tab-s23097t1
20,https://www.songsterr.com/a/wsa/third-day-all-the-heavens-tab-s23460t3
21,https://www.songsterr.com/a/wsa/wolfmother-colossal-tab-s23523t1
22,https://www.songsterr.com/a/wsa/dirtyrun-the-dirty-show-tab-s6614t0
23,https://www.songsterr.com/a/wsa/frenezy-n-oublie-pas-tab-s7940t3
24,https://www.songsterr.com/a/wsa/soda-stereo-entre-canibales-tab-s24107t4
25,https://www.songsterr.com/a/wsa/audio-adrenaline-some-kind-of-zombie-tab-s26021t3
26,https://www.songsterr.com/a/wsa/muse-osaka-jam-tab-s23593t0
27,https://www.songsterr.com/a/wsa/flyleaf-so-i-thought-tab-s24340t3
28,https://www.songsterr.com/a/wsa/biffy-clyro-now-i-m-everyone-tab-s26684t4
29,https://www.songsterr.com/a/wsa/billy-idol-you-spin-me-right-round-tab-s26746t2
30,https://www.songsterr.com/a/wsa/black-light-burns-animal-tab-s26899t2
31,https://www.songsterr.com/a/wsa/disco-ensemble-sink-your-teeth-in-tab-s30113t6
32,https://www.songsterr.com/a/wsa/don-henley-dirty-laundry-tab-s30254t3
33,https://www.songsterr.com/a/wsa/beatles-tell-me-why-tab-s31807t1
34,https://www.songsterr.com/a/wsa/ben-folds-before-cologne-tab-s31870t1
35,https://www.songsterr.com/a/wsa/death-from-above-1979-blood-on-our-hands-tab-s32998t1
36,https://www.songsterr.com/a/wsa/fort-minor-right-now-tab-s35717t2
37,https://www.songsterr.com/a/wsa/frederic-chopin-military-polonaise-tab-s35981t1
38,https://www.songsterr.com/a/wsa/genesis-back-in-nyc-tab-s36371t1
39,https://www.songsterr.com/a/wsa/gotham-road-ophelia-tab-s36800t4
40,https://www.songsterr.com/a/wsa/gyroscope-snakeskin-tab-s37088t5
41,https://www.songsterr.com/a/wsa/hans-zimmer-kraken-tab-s37218t2
42,https://www.songsterr.com/a/wsa/johann-pachelbel-pachelbels-canon-tab-s39501t6
43,https://www.songsterr.com/a/wsa/justin-timberlake-what-goes-around-tab-s40111t1
44,https://www.songsterr.com/a/wsa/lynyrd-skynyrd-born-to-run-tab-s42248t12
45,https://www.songsterr.com/a/wsa/megaman-2-metalman-tab-s43948t3
46,https://www.songsterr.com/a/wsa/diffraction-unknown-tab-s44867t2
47,https://www.songsterr.com/a/wsa/beyond-the-shadow-political-justice-tab-s45518t3
48,https://www.songsterr.com/a/wsa/static-jagged-haze-tab-s46042t3
49,https://www.songsterr.com/a/wsa/gilgamesh-ludmanns-jazz-tab-s46650t4
50,https://www.songsterr.com/a/wsa/nightmare-sin-gods-nightmare-and-the-devils-tab-s46914t1
51,https://www.songsterr.com/a/wsa/new-age-murder-riot-control-tab-s47064t2
52,https://www.songsterr.com/a/wsa/nine-inch-nails-4-ghost-i-tab-s48759t2
53,https://www.songsterr.com/a/wsa/nine-inch-nails-deep-tab-s48733t2
54,https://www.songsterr.com/a/wsa/rush-between-the-wheels-tab-s52510t6
55,https://www.songsterr.com/a/wsa/silverchair-anthem-for-the-year-2000-tab-s53412t4
56,https://www.songsterr.com/a/wsa/styles-of-beyond-nine-thou-superstars-tab-s54984t2
57,https://www.songsterr.com/a/wsa/tankcsapda-fust-es-labdob-tab-s55504t3
58,https://www.songsterr.com/a/wsa/music-strength-in-numbers-tab-s56112t3
59,https://www.songsterr.com/a/wsa/presets-are-you-the-one-tab-s56152t2
60,https://www.songsterr.com/a/wsa/therapy-safe-tab-s56352t4
61,https://www.songsterr.com/a/wsa/essai-truc-tab-s60398t13
62,https://www.songsterr.com/a/wsa/jaques-1-tab-s61807t4
63,https://www.songsterr.com/a/wsa/phish-bliss-tab-s63266t6
64,https://www.songsterr.com/a/wsa/muse-plug-in-baby-temp-tab-s63465t2
65,https://www.songsterr.com/a/wsa/hans-zimmer-dream-is-collapsing-dream-within-a-dream-tab-s63504t5
66,https://www.songsterr.com/a/wsa/muse-hyper-chondriac-music-tab-s13410t3
67,https://www.songsterr.com/a/wsa/adam-lambert-strut-tab-s65560t5
68,https://www.songsterr.com/a/wsa/adam-lambert-fever-tab-s65563t5
69,https://www.songsterr.com/a/wsa/black-rebel-motorcycle-club-river-styx-tab-s67819t4
70,https://www.songsterr.com/a/wsa/christina-aguilera-not-myself-tonight-tab-s69366t2
71,https://www.songsterr.com/a/wsa/brand-new-daisy-tab-s69147t6
72,https://www.songsterr.com/a/wsa/cold-a-different-kind-of-pain-tab-s69596t5
73,https://www.songsterr.com/a/wsa/third-eye-blind-the-red-summer-sun-tab-s69655t15
74,https://www.songsterr.com/a/wsa/nine-inch-nails-love-is-not-enough-tab-s69725t3
75,https://www.songsterr.com/a/wsa/nine-inch-nails-burn-tab-s69719t6
76,https://www.songsterr.com/a/wsa/georg-friedrich-haendel-sarabande-tab-s70633t3
77,https://www.songsterr.com/a/wsa/jesper-kyd-flight-over-venice-assassins-creed-ii-tab-s71872t6
78,https://www.songsterr.com/a/wsa/jason-derulo-in-my-head-tab-s72204t4
79,https://www.songsterr.com/a/wsa/jazz-jackrabbit-technoir-tab-s74446t9
80,https://www.songsterr.com/a/wsa/felix-fabunan-forget-you-tab-s75048t3
81,https://www.songsterr.com/a/wsa/selador-se7en-burn-it-to-the-ground-tab-s77061t4
82,https://www.songsterr.com/a/wsa/regina-spektor-20-years-of-snow-tab-s79102t1
83,https://www.songsterr.com/a/wsa/regina-spektor-apres-moi-tab-s79108t2
84,https://www.songsterr.com/a/wsa/regina-spektor-somedays-tab-s79111t2
85,https://www.songsterr.com/a/wsa/smashing-pumpkins-freak-tab-s79831t5
86,https://www.songsterr.com/a/wsa/birthday-massacre-pale-tab-s80651t8
87,https://www.songsterr.com/a/wsa/hall-effect-hitman-story-tab-s80677t1
88,https://www.songsterr.com/a/wsa/324-blue-tab-s82220t4
89,https://www.songsterr.com/a/wsa/jedi-mind-tricks-heavy-metal-kings-tab-s84551t4
90,https://www.songsterr.com/a/wsa/muse-drum-bass-jam-tab-s85216t0
91,https://www.songsterr.com/a/wsa/theme-songs-skyrim-theme-tab-s89619t1
92,https://www.songsterr.com/a/wsa/yellowcard-gifts-and-curses-tab-s10774t9
93,https://www.songsterr.com/a/wsa/heroes-get-remembered-sin-city-tab-s90188t5
94,https://www.songsterr.com/a/wsa/skrillex-first-of-the-year-equinox-tab-s268545t5
95,https://www.songsterr.com/a/wsa/neen-d-beast-and-the-harlot-tab-s268837t3
96,https://www.songsterr.com/a/wsa/mucc-ame-no-orchestra-tab-s268886t5
97,https://www.songsterr.com/a/wsa/kat-spojrzenie-tab-s40301t2
