,0
0,https://www.songsterr.com/a/wsa/devo-gates-of-steel-tab-s6450t4
1,https://www.songsterr.com/a/wsa/jad-in-amber-clad-tab-s10408t5
2,https://www.songsterr.com/a/wsa/led-zeppelin-friends-tab-s11802t0
3,https://www.songsterr.com/a/wsa/nihil-lies-within-tab-s14647t2
4,https://www.songsterr.com/a/wsa/rolling-stones-you-gotta-move-tab-s16596t1
5,https://www.songsterr.com/a/wsa/slippy-so-what-tab-s18582t3
6,https://www.songsterr.com/a/wsa/tascor-she-wants-to-sleep-tab-s19739t0
7,https://www.songsterr.com/a/wsa/tragically-hip-ahead-by-a-century-tab-s20318t0
8,https://www.songsterr.com/a/wsa/3-doors-down-citizen-soldier-tab-s323t1
9,https://www.songsterr.com/a/wsa/crack-ov-dawn-miss-suicide-tab-s3856t6
10,https://www.songsterr.com/a/wsa/naked-ear-retzhof-tab-s14410t0
11,https://www.songsterr.com/a/wsa/luka-bloom-first-light-of-spring-tab-s3194t0
12,https://www.songsterr.com/a/wsa/beck-side-of-the-road-tab-s26472t0
13,https://www.songsterr.com/a/wsa/3-doors-down-train-tab-s30626t0
14,https://www.songsterr.com/a/wsa/fozzy-enemy-tab-s35754t2
15,https://www.songsterr.com/a/wsa/john-butler-trio-daniella-tab-s39606t0
16,https://www.songsterr.com/a/wsa/john-butler-trio-what-you-want-tab-s39605t3
17,https://www.songsterr.com/a/wsa/john-butler-trio-sista-tab-s39609t0
18,https://www.songsterr.com/a/wsa/john-butler-trio-funky-tonight-tab-s39610t0
19,https://www.songsterr.com/a/wsa/speedy-recovery-i-need-your-clothes-shoes-and-motorcycle-tab-s44464t1
20,https://www.songsterr.com/a/wsa/trevor-g-close-tab-s44694t1
21,https://www.songsterr.com/a/wsa/used-to-be-x-tab-s46163t1
22,https://www.songsterr.com/a/wsa/drew-jaming-session-tab-s46393t0
23,https://www.songsterr.com/a/wsa/i-ll-mazdo-as-i-lay-in-the-mazdo-playing-riosk-with-hayley-williams-tab-s46518t1
24,https://www.songsterr.com/a/wsa/omeads-faking-the-victim-tab-s47001t1
25,https://www.songsterr.com/a/wsa/tupac-shakur-changes-tab-s57175t0
