,0
0,https://www.songsterr.com/a/wsa/slipknot-yen-tab-s515348t1
1,https://www.songsterr.com/a/wsa/chelsea-grin-crewcabanger-official-tab-s515131t5
2,https://www.songsterr.com/a/wsa/chelsea-grin-don-t-ask-don-t-tell-chorus-6-string-tab-s515034t0
3,https://www.songsterr.com/a/wsa/skalyvan-all-to-end-tab-s515020t1
4,https://www.songsterr.com/a/wsa/skalyvan-agony-tab-s515019t4
5,https://www.songsterr.com/a/wsa/skalyvan-pursuer-tab-s515018t0
6,https://www.songsterr.com/a/wsa/skalyvan-a-picture-of-shit-tab-s515017t1
7,https://www.songsterr.com/a/wsa/skalyvan-i-am-true-tab-s515016t4
8,https://www.songsterr.com/a/wsa/shawn-cochran-the-final-whisper-tab-s515005t1
9,https://www.songsterr.com/a/wsa/oimbo-boimbo3-tab-s514907t2
10,https://www.songsterr.com/a/wsa/oimbo-boimbo2-tab-s514906t1
11,https://www.songsterr.com/a/wsa/sdfpiunowefjpio-gi3norergojkngrejno-tab-s514861t1
12,https://www.songsterr.com/a/wsa/pathaway-non-sono-tua-figlia-non-sono-tuo-figlio-tab-s514837t4
13,https://www.songsterr.com/a/wsa/shawn-cochran-pitched-breakdown-idea-tab-s514814t0
14,https://www.songsterr.com/a/wsa/zkam-crap-tab-s514779t0
15,https://www.songsterr.com/a/wsa/n365m4567n4m567n-m4-567m4576m475-tab-s514766t0
16,https://www.songsterr.com/a/wsa/m678m7685m6789-b46n5wn4567n5674-tab-s514760t0
17,https://www.songsterr.com/a/wsa/btyujky-ukb-nr57n74557-tab-s514711t5
18,https://www.songsterr.com/a/wsa/valhalladante-cycles-of-aurora-tab-s514695t14
19,https://www.songsterr.com/a/wsa/hb-jhuoyi8-tab-s514630t1
20,https://www.songsterr.com/a/wsa/j7656j-345y35yh-tab-s514612t0
21,https://www.songsterr.com/a/wsa/i-prevail-lifelines-7-string-tab-s514611t2
22,https://www.songsterr.com/a/wsa/dsfvwsd-ewfreqwf-tab-s514576t1
23,https://www.songsterr.com/a/wsa/4b32b2344b23-b2345b2345b2345-tab-s514550t0
24,https://www.songsterr.com/a/wsa/pesho-proba2-tab-s514548t0
25,https://www.songsterr.com/a/wsa/orbit-culture-wargblod-tab-s514464t4
26,https://www.songsterr.com/a/wsa/get-scared-hate-tab-s514348t0
27,https://www.songsterr.com/a/wsa/decharot-chonk-tab-s514268t0
28,https://www.songsterr.com/a/wsa/bautek-out-for-blood-tab-s514025t1
29,https://www.songsterr.com/a/wsa/proba-pesho-1-tab-s513975t1
30,https://www.songsterr.com/a/wsa/solarstate-a-tab-s513857t1
31,https://www.songsterr.com/a/wsa/dsfsfd-sdffsdsdf-tab-s513704t1
32,https://www.songsterr.com/a/wsa/galendwagen-tab-s512872t1
33,https://www.songsterr.com/a/wsa/madlu-song-30-tab-s512845t0
34,https://www.songsterr.com/a/wsa/chelsea-grin-don-t-ask-don-t-tell-chorus-tab-s512825t1
35,https://www.songsterr.com/a/wsa/rammstein-sonne-drop-a-tab-s512762t0
36,https://www.songsterr.com/a/wsa/slipknot-psychosocial-chorus-tab-s512737t1
37,https://www.songsterr.com/a/wsa/snatch-club-exhibition-tab-s512490t1
38,https://www.songsterr.com/a/wsa/extermination-dismemberment-disemboweled-engorgement-tab-s512487t0
39,https://www.songsterr.com/a/wsa/abominable-putridity-entrails-full-of-vermin-tab-s512441t1
40,https://www.songsterr.com/a/wsa/kambodge-tab-s512378t2
41,https://www.songsterr.com/a/wsa/i-prevail-hurricane-breakdown-tab-s512366t1
42,https://www.songsterr.com/a/wsa/i-prevail-hurricane-chorus-tab-s512351t3
43,https://www.songsterr.com/a/wsa/slaughter-to-prevail-baba-yaga-outro-6-string-tab-s512306t1
44,https://www.songsterr.com/a/wsa/successor-gods-are-blind-tab-s512227t1
45,https://www.songsterr.com/a/wsa/ewaw3333-flesh-hit-the-panic-tab-s511830t1
46,https://www.songsterr.com/a/wsa/ewaw3333-paracyte-tab-s511816t2
47,https://www.songsterr.com/a/wsa/solo1-jim2-tab-s511645t0
48,https://www.songsterr.com/a/wsa/solo1-mick-tab-s511643t0
49,https://www.songsterr.com/a/wsa/solo1-jim-tab-s511642t0
50,https://www.songsterr.com/a/wsa/bakynsified-tab-s511497t0
51,https://www.songsterr.com/a/wsa/bakynsified-tab-s511473t0
52,https://www.songsterr.com/a/wsa/bakynsified-tab-s511472t0
53,https://www.songsterr.com/a/wsa/bkmz-dawnito-tab-s511458t1
54,https://www.songsterr.com/a/wsa/rave-the-reqviem-riptide-tab-s511407t0
55,https://www.songsterr.com/a/wsa/susi-kaban-full-tab-s511287t1
56,https://www.songsterr.com/a/wsa/ewaw3333-velikobritania-tab-s511279t1
57,https://www.songsterr.com/a/wsa/ewaw3333-sikosis-tab-s511278t2
58,https://www.songsterr.com/a/wsa/bautek-morose-tab-s511172t1
59,https://www.songsterr.com/a/wsa/masaki-metal-tab-s511055t0
60,https://www.songsterr.com/a/wsa/pathaway-duo-aromantico-tab-s510954t2
61,https://www.songsterr.com/a/wsa/gnuj-junajted-gnojowisko-tab-s510794t1
62,https://www.songsterr.com/a/wsa/12345678dropa-guitar-tab-s510666t0
63,https://www.songsterr.com/a/wsa/12345678dropa-guitar-tab-s510665t0
64,https://www.songsterr.com/a/wsa/medieval-letters-for-you-tab-s510656t0
65,https://www.songsterr.com/a/wsa/abtu-destroying-the-enemies-of-ra-tab-s510592t8
66,https://www.songsterr.com/a/wsa/jinjer-i-speak-astronomy-king-of-everything-tab-s510461t2
67,https://www.songsterr.com/a/wsa/glint-untitled-tab-s510282t0
68,https://www.songsterr.com/a/wsa/slipknot-the-devil-in-i-guitars-only-tab-s509912t1
69,https://www.songsterr.com/a/wsa/galendwagen-tab-s509907t2
70,https://www.songsterr.com/a/wsa/slipknot-sarcastrophe-guitars-only-tab-s509864t0
71,https://www.songsterr.com/a/wsa/bautek-djent-chuj-tab-s509845t1
72,https://www.songsterr.com/a/wsa/bautek-djent-gowno-tab-s509844t0
73,https://www.songsterr.com/a/wsa/i-prevail-lifelines-tab-s509814t0
