,0
0,https://www.songsterr.com/a/wsa/bring-me-the-horizon-can-you-feel-my-heart-tab-s383205t4
1,https://www.songsterr.com/a/wsa/jhguitar-freak-doomed-tab-s10356t3
2,https://www.songsterr.com/a/wsa/singltus-tightrope-runner-tab-s17849t3
3,https://www.songsterr.com/a/wsa/singltus-kazaksthan-tab-s18097t3
4,https://www.songsterr.com/a/wsa/sunchez-sun-rise-tab-s19366t6
5,https://www.songsterr.com/a/wsa/nickelback-do-this-anymore-tab-s14315t3
6,https://www.songsterr.com/a/wsa/sunchez-dawn-tab-s19223t0
7,https://www.songsterr.com/a/wsa/staind-take-it-tab-s24076t0
8,https://www.songsterr.com/a/wsa/buckethead-we-are-one-tab-s27546t1
9,https://www.songsterr.com/a/wsa/chevelle-straight-jacket-fashion-tab-s28187t0
10,https://www.songsterr.com/a/wsa/chevelle-midnight-to-midnight-tab-s32468t0
11,https://www.songsterr.com/a/wsa/evanescence-cloud-nine-tab-s34524t7
12,https://www.songsterr.com/a/wsa/fuel-getting-thru-tab-s36076t1
13,https://www.songsterr.com/a/wsa/leo-kottke-living-in-the-country-tab-s41473t0
14,https://www.songsterr.com/a/wsa/robert-taylor-gravy-train-brutality-tab-s44446t3
15,https://www.songsterr.com/a/wsa/skylar-rickel-broken-mirrors-tab-s44737t0
16,https://www.songsterr.com/a/wsa/remembering-vengeance-heavy-lifting-tab-s44864t0
17,https://www.songsterr.com/a/wsa/remembering-vengeance-more-nothing-tab-s44974t0
18,https://www.songsterr.com/a/wsa/remembering-vengeance-samo-tab-s45010t1
19,https://www.songsterr.com/a/wsa/remembering-vengeance-pain-tab-s45222t1
20,https://www.songsterr.com/a/wsa/remembering-vengeance-sweep-tab-s45383t3
21,https://www.songsterr.com/a/wsa/infected-angels-masticator-dismemberment-tab-s45524t0
22,https://www.songsterr.com/a/wsa/bloodsense-in-my-world-tab-s45632t0
23,https://www.songsterr.com/a/wsa/cabalist-burn-tab-s45649t2
24,https://www.songsterr.com/a/wsa/wavenoise-black-masqueradeinto-the-void-tab-s45651t4
25,https://www.songsterr.com/a/wsa/metalmilitiaman-shattered-tab-s45754t0
26,https://www.songsterr.com/a/wsa/in-the-assault-unfold-tab-s45758t1
27,https://www.songsterr.com/a/wsa/skylar-rickel-screams-in-the-void-tab-s46317t1
28,https://www.songsterr.com/a/wsa/remembering-vengeance-work-in-progress-tab-s46413t0
29,https://www.songsterr.com/a/wsa/remembering-vengeance-new-tab-s46592t1
30,https://www.songsterr.com/a/wsa/remembering-vengeance-bones-break-tab-s46961t0
31,https://www.songsterr.com/a/wsa/robert-taylor-liqour-up-front-poker-in-the-back-tab-s47080t1
32,https://www.songsterr.com/a/wsa/robert-taylor-mustard-sauce-tab-s47198t1
