,0
0,https://www.songsterr.com/a/wsa/children-of-bodom-are-you-dead-yet-tab-s4246t0
1,https://www.songsterr.com/a/wsa/as-i-lay-dying-through-struggle-tab-s25864t0
2,https://www.songsterr.com/a/wsa/bullet-for-my-valentine-waking-the-demon-tab-s23507t0
3,https://www.songsterr.com/a/wsa/killswitch-engage-my-curse-tab-s23152t5
4,https://www.songsterr.com/a/wsa/skillet-monster-tab-s28373t2
5,https://www.songsterr.com/a/wsa/system-of-a-down-aerials-tab-s3709t1
6,https://www.songsterr.com/a/wsa/three-days-grace-animal-i-have-become-tab-s466t1
7,https://www.songsterr.com/a/wsa/rammstein-deutschland-tab-s451140t0
8,https://www.songsterr.com/a/wsa/system-of-a-down-protect-the-land-tab-s474587t2
9,https://www.songsterr.com/a/wsa/children-of-bodom-in-your-face-tab-s4667t0
10,https://www.songsterr.com/a/wsa/bullet-for-my-valentine-hand-of-blood-tab-s3663t0
11,https://www.songsterr.com/a/wsa/bullet-for-my-valentine-tears-don-t-fall-tab-s23498t2
12,https://www.songsterr.com/a/wsa/children-of-bodom-angels-don-t-kill-tab-s4385t0
13,https://www.songsterr.com/a/wsa/gojira-the-gift-of-guilt-tab-s92886t1
14,https://www.songsterr.com/a/wsa/thedooo-ascend-incomplete-tab-s449583t6
15,https://www.songsterr.com/a/wsa/disturbed-stricken-tab-s5201t1
16,https://www.songsterr.com/a/wsa/killswitch-engage-never-again-tab-s62190t0
17,https://www.songsterr.com/a/wsa/mejibray-nepenthes-tab-s467230t0
18,https://www.songsterr.com/a/wsa/killswitch-engage-eye-of-the-storm-tab-s40514t1
19,https://www.songsterr.com/a/wsa/three-days-grace-riot-tab-s23218t1
20,https://www.songsterr.com/a/wsa/deftones-digital-bath-tab-s22734t1
21,https://www.songsterr.com/a/wsa/agalloch-not-unlike-the-waves-tab-s30882t0
22,https://www.songsterr.com/a/wsa/motley-crue-hooligans-holiday-tab-s424898t3
23,https://www.songsterr.com/a/wsa/children-of-bodom-lobodomy-tab-s28233t0
24,https://www.songsterr.com/a/wsa/seether-don-t-believe-tab-s410280t2
25,https://www.songsterr.com/a/wsa/killswitch-engage-holy-diver-tab-s23661t1
26,https://www.songsterr.com/a/wsa/children-of-bodom-blooddrunk-tab-s32480t1
27,https://www.songsterr.com/a/wsa/motley-crue-bitter-pill-tab-s84799t1
28,https://www.songsterr.com/a/wsa/august-burns-red-1162011-tab-s406097t4
29,https://www.songsterr.com/a/wsa/octopus-montage-my-e-girl-left-me-intro-verse-tab-s515326t3
30,https://www.songsterr.com/a/wsa/masaki-alive-tab-s514474t2
31,https://www.songsterr.com/a/wsa/yuyoyuppe-palette-tab-s515289t0
32,https://www.songsterr.com/a/wsa/three-days-grace-so-called-life-tab-s508763t0
