,0
0,https://www.songsterr.com/a/wsa/beatles-blackbird-tab-s57t0
1,https://www.songsterr.com/a/wsa/isaac-albeniz-asturias-leyenda-tab-s23643t0
2,https://www.songsterr.com/a/wsa/ac-dc-back-in-black-tab-s1024t2
3,https://www.songsterr.com/a/wsa/pachelbel-canon-in-d-major-tab-s59950t0
4,https://www.songsterr.com/a/wsa/led-zeppelin-babe-i-m-gonna-leave-you-tab-s6732t2
5,https://www.songsterr.com/a/wsa/jimi-hendrix-little-wing-tab-s321t0
6,https://www.songsterr.com/a/wsa/pink-floyd-shine-on-you-crazy-diamond-parts-i-ix-tab-s15518t1
7,https://www.songsterr.com/a/wsa/kansas-dust-in-the-wind-tab-s64t0
8,https://www.songsterr.com/a/wsa/francisco-tarrega-capricho-arabe-tab-s35821t0
9,https://www.songsterr.com/a/wsa/pachelbel-canon-in-c-tab-s90818t0
10,https://www.songsterr.com/a/wsa/frank-sinatra-fly-me-to-the-moon-fingerstyle-tab-s399877t0
11,https://www.songsterr.com/a/wsa/marilyn-manson-sweet-dreams-tab-s443781t2
12,https://www.songsterr.com/a/wsa/van-halen-panama-tab-s18645t0
13,https://www.songsterr.com/a/wsa/johnny-cash-hurt-tab-s455130t0
14,https://www.songsterr.com/a/wsa/metallica-nothing-else-matters-acoustic-tab-s84465t0
15,https://www.songsterr.com/a/wsa/kaare-norge-nocturne-op-9-no-2-frederic-chopin-tab-s92910t0
16,https://www.songsterr.com/a/wsa/dire-straits-sultans-of-swing-tab-s30084t1
17,https://www.songsterr.com/a/wsa/papa-roach-last-resort-tab-s264t1
18,https://www.songsterr.com/a/wsa/metallica-orion-tab-s12369t1
19,https://www.songsterr.com/a/wsa/slash-anastasia-tab-s90866t3
20,https://www.songsterr.com/a/wsa/red-hot-chili-peppers-scar-tissue-tab-s49t2
21,https://www.songsterr.com/a/wsa/linkin-park-numb-fingerstyle-tab-s91316t0
22,https://www.songsterr.com/a/wsa/lynyrd-skynyrd-sweet-home-alabama-tab-s58984t0
23,https://www.songsterr.com/a/wsa/slash-the-godfather-theme-tab-s63341t0
24,https://www.songsterr.com/a/wsa/ozzy-osbourne-crazy-train-tab-s61178t2
25,https://www.songsterr.com/a/wsa/yiruma-shunga-jung-fingerstyle-river-flows-in-you-yiruma-shunga-jung-tab-s435174t0
26,https://www.songsterr.com/a/wsa/megadeth-hangar-18-tab-s12836t1
27,https://www.songsterr.com/a/wsa/van-halen-eruption-tab-s92811t0
28,https://www.songsterr.com/a/wsa/led-zeppelin-stairway-to-heaven-guitar-solo-tab-s393733t0
29,https://www.songsterr.com/a/wsa/theme-songs-pirates-of-the-caribbean-tab-s83486t0
30,https://www.songsterr.com/a/wsa/black-sabbath-iron-man-tab-s8t1
31,https://www.songsterr.com/a/wsa/dick-dale-misirlou-tab-s6534t0
32,https://www.songsterr.com/a/wsa/ed-sheeran-i-see-fire-fingerstyle-cover-by-gp-tab-s387601t0
33,https://www.songsterr.com/a/wsa/megadeth-symphony-of-destruction-tab-s487t1
34,https://www.songsterr.com/a/wsa/ludwig-van-beethoven-moonlight-sonata-acoustic-version-tab-s90872t0
35,https://www.songsterr.com/a/wsa/guns-n-roses-don-t-cry-tab-s125t3
36,https://www.songsterr.com/a/wsa/oasis-wonderwall-tab-s2t4
37,https://www.songsterr.com/a/wsa/ac-dc-you-shook-me-all-night-long-tab-s63275t1
38,https://www.songsterr.com/a/wsa/mason-williams-classical-gas-tab-s179t0
39,https://www.songsterr.com/a/wsa/jerryc-canon-rock-tab-s10770t0
40,https://www.songsterr.com/a/wsa/muse-psycho-tab-s397217t0
41,https://www.songsterr.com/a/wsa/megadeth-holy-wars-the-punishment-due-tab-s24033t1
42,https://www.songsterr.com/a/wsa/megadeth-tornado-of-souls-tab-s12824t2
43,https://www.songsterr.com/a/wsa/slayer-raining-blood-tab-s17904t1
44,https://www.songsterr.com/a/wsa/slayer-angel-of-death-tab-s17586t1
45,https://www.songsterr.com/a/wsa/slipknot-psychosocial-tab-s19615t8
46,https://www.songsterr.com/a/wsa/blind-guardian-the-bards-song-tab-s66295t0
47,https://www.songsterr.com/a/wsa/red-hot-chili-peppers-can-t-stop-tab-s12t2
48,https://www.songsterr.com/a/wsa/gary-moore-the-loner-tab-s23197t0
49,https://www.songsterr.com/a/wsa/sungha-jung-howls-moving-castle-tab-s91752t0
50,https://www.songsterr.com/a/wsa/children-of-bodom-are-you-dead-yet-tab-s4246t0
51,https://www.songsterr.com/a/wsa/estas-tonne-the-song-of-the-golden-dragon-tab-s390080t0
52,https://www.songsterr.com/a/wsa/ac-dc-hells-bells-tab-s205t0
53,https://www.songsterr.com/a/wsa/mayhem-freezing-moon-tab-s12333t0
54,https://www.songsterr.com/a/wsa/foo-fighters-everlong-tab-s86505t2
55,https://www.songsterr.com/a/wsa/guns-n-roses-november-rain-tab-s8452t1
56,https://www.songsterr.com/a/wsa/guns-n-roses-paradise-city-tab-s10142t2
57,https://www.songsterr.com/a/wsa/avenged-sevenfold-buried-alive-tab-s61130t2
58,https://www.songsterr.com/a/wsa/metallica-ride-the-lightning-tab-s248t1
59,https://www.songsterr.com/a/wsa/alan-walker-faded-fingerstyle-tab-s408190t0
60,https://www.songsterr.com/a/wsa/johann-sebastian-bach-bouree-tab-s390711t0
61,https://www.songsterr.com/a/wsa/tab-s10887t0
62,https://www.songsterr.com/a/wsa/as-i-lay-dying-through-struggle-tab-s25864t0
63,https://www.songsterr.com/a/wsa/lynyrd-skynyrd-free-bird-tab-s21t3
64,https://www.songsterr.com/a/wsa/judas-priest-breaking-the-law-tab-s10640t3
65,https://www.songsterr.com/a/wsa/ludwig-van-beethoven-fur-elise-tab-s2482t0
66,https://www.songsterr.com/a/wsa/tab-s6711t2
67,https://www.songsterr.com/a/wsa/gojira-silvera-tab-s406784t0
68,https://www.songsterr.com/a/wsa/bullet-for-my-valentine-waking-the-demon-tab-s23507t0
69,https://www.songsterr.com/a/wsa/joe-hisaishi-spirited-away-ost-one-summer-s-day-tab-s389617t0
70,https://www.songsterr.com/a/wsa/blue-oyster-cult-don-t-fear-the-reaper-tab-s3425t0
