,0
0,https://www.songsterr.com/a/wsa/francisco-tarrega-capricho-arabe-tab-s35821t0
1,https://www.songsterr.com/a/wsa/papa-roach-last-resort-tab-s264t1
2,https://www.songsterr.com/a/wsa/muse-psycho-tab-s397217t0
3,https://www.songsterr.com/a/wsa/foo-fighters-everlong-tab-s86505t2
4,https://www.songsterr.com/a/wsa/avenged-sevenfold-nightmare-tab-s60268t2
5,https://www.songsterr.com/a/wsa/lamb-of-god-walk-with-me-in-hell-tab-s23662t1
6,https://www.songsterr.com/a/wsa/seether-careless-whisper-tab-s24242t0
7,https://www.songsterr.com/a/wsa/tool-the-pot-tab-s29442t2
8,https://www.songsterr.com/a/wsa/lamb-of-god-laid-to-rest-tab-s12062t0
9,https://www.songsterr.com/a/wsa/lamb-of-god-redneck-tab-s24278t0
10,https://www.songsterr.com/a/wsa/metallica-all-nightmare-long-tab-s23570t2
11,https://www.songsterr.com/a/wsa/tenacious-d-the-metal-tab-s23619t1
12,https://www.songsterr.com/a/wsa/pearl-jam-even-flow-tab-s384t0
13,https://www.songsterr.com/a/wsa/avenged-sevenfold-bat-country-tab-s61111t2
14,https://www.songsterr.com/a/wsa/three-days-grace-i-hate-everything-about-you-tab-s20179t1
15,https://www.songsterr.com/a/wsa/avenged-sevenfold-the-stage-tab-s415122t1
16,https://www.songsterr.com/a/wsa/avenged-sevenfold-save-me-tab-s61923t0
17,https://www.songsterr.com/a/wsa/avenged-sevenfold-beast-and-the-harlot-tab-s1915t1
18,https://www.songsterr.com/a/wsa/linkin-park-given-up-tab-s41721t1
19,https://www.songsterr.com/a/wsa/beatles-i-want-you-she-s-so-heavy-tab-s22795t2
20,https://www.songsterr.com/a/wsa/tool-forty-six-2-tab-s19805t1
21,https://www.songsterr.com/a/wsa/samurai-cyberpunk-2077-never-fade-away-tab-s476498t0
22,https://www.songsterr.com/a/wsa/tool-vicarious-tab-s56870t0
23,https://www.songsterr.com/a/wsa/fleetwood-mac-the-chain-tab-s7881t4
24,https://www.songsterr.com/a/wsa/all-time-low-dear-maria-count-me-in-tab-s31040t1
25,https://www.songsterr.com/a/wsa/samurai-chippin-in-tab-s477417t0
26,https://www.songsterr.com/a/wsa/tool-schism-tab-s6700t1
27,https://www.songsterr.com/a/wsa/avenged-sevenfold-unholy-confessions-tab-s580t1
28,https://www.songsterr.com/a/wsa/rammstein-sonne-tab-s51438t1
29,https://www.songsterr.com/a/wsa/rammstein-deutschland-tab-s451140t1
30,https://www.songsterr.com/a/wsa/antonio-vivaldi-the-four-seasons-summer-tab-s23328t1
31,https://www.songsterr.com/a/wsa/tool-pneuma-tab-s455388t2
32,https://www.songsterr.com/a/wsa/green-day-boulevard-of-broken-dreams-tab-s92866t7
33,https://www.songsterr.com/a/wsa/rage-against-the-machine-killing-in-the-name-tab-s360t1
34,https://www.songsterr.com/a/wsa/eric-clapton-layla-acoustic-tab-s23702t3
35,https://www.songsterr.com/a/wsa/pantera-cemetery-gates-tab-s14038t4
36,https://www.songsterr.com/a/wsa/avenged-sevenfold-shepherd-of-fire-tab-s384587t4
37,https://www.songsterr.com/a/wsa/avenged-sevenfold-so-far-away-tab-s61651t8
38,https://www.songsterr.com/a/wsa/metallica-eye-of-the-beholder-tab-s13696t1
39,https://www.songsterr.com/a/wsa/volbeat-guitar-gangsters-and-cadilac-blood-tab-s57886t0
40,https://www.songsterr.com/a/wsa/tool-ticks-leeches-tab-s56862t1
41,https://www.songsterr.com/a/wsa/motley-crue-kickstart-my-heart-drop-d-tab-s455078t2
42,https://www.songsterr.com/a/wsa/metallica-sad-but-true-drop-d-tab-s447074t1
43,https://www.songsterr.com/a/wsa/diaura-lost-november-tab-s436193t0
44,https://www.songsterr.com/a/wsa/prodigy-voodo-people-tab-s384840t5
45,https://www.songsterr.com/a/wsa/paramore-all-we-know-tab-s49973t0
46,https://www.songsterr.com/a/wsa/steve-hansen-giorno-s-theme-jojo-s-bizarre-adventure-golden-wind-ost-tab-s515335t0
47,https://www.songsterr.com/a/wsa/shawn-cochran-total-drama-island-drop-d-tab-s515330t1
48,https://www.songsterr.com/a/wsa/deco-27-feat-hatsune-miku-hibana-in-d-drop-tab-s515323t5
49,https://www.songsterr.com/a/wsa/misc-computer-games-team-fortress-2-medic-tab-s515310t4
50,https://www.songsterr.com/a/wsa/akiakane-bye-baby-sayonara-tab-s515305t0
51,https://www.songsterr.com/a/wsa/wallaxe-elisf-inger-tab-s515291t2
52,https://www.songsterr.com/a/wsa/noddy-20-tab-s515277t0
53,https://www.songsterr.com/a/wsa/wyrmura-upchucktempo-gp5-tab-s515250t2
54,https://www.songsterr.com/a/wsa/saint-asonia-better-late-than-never-tab-s515118t3
55,https://www.songsterr.com/a/wsa/noddy-19-tab-s515232t4
56,https://www.songsterr.com/a/wsa/noddy-18-tab-s515229t0
57,https://www.songsterr.com/a/wsa/weywot-two-guns-tab-s514237t0
58,https://www.songsterr.com/a/wsa/d-dixon-sunflower-tab-s515206t3
59,https://www.songsterr.com/a/wsa/west-dancing-line-tab-s515191t0
60,https://www.songsterr.com/a/wsa/porcupine-tree-rats-return-tab-s515178t4
61,https://www.songsterr.com/a/wsa/noddy-16-tab-s515169t1
62,https://www.songsterr.com/a/wsa/story-of-the-year-until-the-day-i-die-tab-s18929t1
63,https://www.songsterr.com/a/wsa/wallaxe-papa-tab-s515121t0
64,https://www.songsterr.com/a/wsa/nirvana-stain-tab-s47379t1
65,https://www.songsterr.com/a/wsa/snougy-metallica-song-tab-s515047t0
66,https://www.songsterr.com/a/wsa/drop-d-tab-s515001t4
67,https://www.songsterr.com/a/wsa/scremter-cool-song-tab-s514951t4
68,https://www.songsterr.com/a/wsa/luisxvilp811-l-022-tab-s461815t2
69,https://www.songsterr.com/a/wsa/snougy-posthardcore-breakdown-lol-tab-s515014t0
70,https://www.songsterr.com/a/wsa/outside-city-limits-community-feel-tab-s515013t0
71,https://www.songsterr.com/a/wsa/outlaw-prison-tab-s515008t1
72,https://www.songsterr.com/a/wsa/deftones-lifter-tab-s24308t0
73,https://www.songsterr.com/a/wsa/weywot-carmel-tab-s515000t0
74,https://www.songsterr.com/a/wsa/issizproject-issizinsark-lar-tab-s514997t2
75,https://www.songsterr.com/a/wsa/blink-182-kaleidoscope-tab-s87666t3
76,https://www.songsterr.com/a/wsa/deftones-7-words-tab-s29217t1
77,https://www.songsterr.com/a/wsa/metallica-sad-but-true-original-e-bass-tab-s514954t0
78,https://www.songsterr.com/a/wsa/opeth-demon-of-the-fall-tab-s23650t0
79,https://www.songsterr.com/a/wsa/slump-tender-tab-s514940t0
80,https://www.songsterr.com/a/wsa/noddy-15-tab-s514941t1
81,https://www.songsterr.com/a/wsa/lemon-demon-lifetime-achievement-award-tab-s509664t4
82,https://www.songsterr.com/a/wsa/paramore-now-tab-s382509t3
83,https://www.songsterr.com/a/wsa/my-anarchist-angel-200-bpm-ay-no-tab-s514868t2
84,https://www.songsterr.com/a/wsa/hiddenthing-hytgfrcdexsz-tab-s514676t3
85,https://www.songsterr.com/a/wsa/sleepwalking-bring-me-the-horizon-tab-s514842t0
86,https://www.songsterr.com/a/wsa/luisxvilp811-l-016-tab-s514736t2
87,https://www.songsterr.com/a/wsa/tab-s514820t2
88,https://www.songsterr.com/a/wsa/state-champs-dead-and-gone-tab-s514817t4
89,https://www.songsterr.com/a/wsa/a-day-to-remember-if-i-leave-tab-s514810t1
90,https://www.songsterr.com/a/wsa/banished-archangels-the-way-of-the-bitch-tab-s503088t1
91,https://www.songsterr.com/a/wsa/banished-archangels-no-more-tab-s503090t4
92,https://www.songsterr.com/a/wsa/river-unrest-michael-where-s-the-salsa-tab-s514696t0
93,https://www.songsterr.com/a/wsa/mawinswag-fleshie-tab-s514729t1
94,https://www.songsterr.com/a/wsa/shawn-cochran-upbeat-chorus-idea-tab-s514727t0
95,https://www.songsterr.com/a/wsa/juan-asdwqewqewq-xzzxvxz-fwq-3-tab-s514682t0
96,https://www.songsterr.com/a/wsa/vivarush-mikan-sei-bakudan-tab-s514660t0
97,https://www.songsterr.com/a/wsa/ambleside-wash-away-tab-s514654t1
98,https://www.songsterr.com/a/wsa/pigstyle-annoyance-tab-s514643t2
99,https://www.songsterr.com/a/wsa/machine-gun-kelly-forget-me-too-tab-s498827t1
100,https://www.songsterr.com/a/wsa/shrine-another-another-demo-tab-s514603t0
101,https://www.songsterr.com/a/wsa/juan-njsdsakdknjkasnmnmnmmnmm-tab-s514581t0
102,https://www.songsterr.com/a/wsa/mub-pirates-medley-tab-s514590t1
103,https://www.songsterr.com/a/wsa/juan-p-p-p-p-p-p-pjhknhgjtyrt-tab-s514587t0
104,https://www.songsterr.com/a/wsa/oxt-hollow-hunger-tab-s514583t1
105,https://www.songsterr.com/a/wsa/konhard-sdhjagtfuyfybasdfibsatodie-tab-s513892t1
106,https://www.songsterr.com/a/wsa/division-new-babuyna-tab-s514570t6
107,https://www.songsterr.com/a/wsa/hehe-haha-tab-s510297t1
108,https://www.songsterr.com/a/wsa/tweaker-doom-3-main-theme-tab-s478635t0
109,https://www.songsterr.com/a/wsa/mental-fog-sensory-overload-tab-s512808t4
110,https://www.songsterr.com/a/wsa/rom-primadonna-tab-s514529t4
111,https://www.songsterr.com/a/wsa/9mm-parabellum-bullet-tab-s514526t0
112,https://www.songsterr.com/a/wsa/rom-bed-notes-tab-s514525t2
113,https://www.songsterr.com/a/wsa/rom-potted-plants-tab-s514522t0
114,https://www.songsterr.com/a/wsa/rom-goliath-s-four-twentieth-dollar-tab-s514521t2
115,https://www.songsterr.com/a/wsa/rom-tom-nook-the-crook-tab-s514509t1
116,https://www.songsterr.com/a/wsa/kawaii-terror-tab-s514483t0
117,https://www.songsterr.com/a/wsa/kawaii-terror-808-heartbreak-tab-s514479t1
118,https://www.songsterr.com/a/wsa/ben-mason-3-yr-tab-s514159t0
119,https://www.songsterr.com/a/wsa/rom-stack-cats-tab-s514470t0
120,https://www.songsterr.com/a/wsa/rom-feathers-tab-s514467t3
121,https://www.songsterr.com/a/wsa/tab-s514421t3
122,https://www.songsterr.com/a/wsa/lorikk-nikocado-avocado-will-die-on-the-16th-of-february-2022-tab-s496272t0
123,https://www.songsterr.com/a/wsa/horizon-flame-zalupa-tab-s514408t0
124,https://www.songsterr.com/a/wsa/billy-talent-the-wolf-tab-s514378t0
125,https://www.songsterr.com/a/wsa/horizon-flame-dancing-people-fuking-people-tab-s514349t5
126,https://www.songsterr.com/a/wsa/mental-fog-for-whom-the-bell-tolls-tab-s513919t4
127,https://www.songsterr.com/a/wsa/transcend-time-transcend-time-tab-s514330t7
