,0
0,https://www.songsterr.com/a/wsa/disturbed-down-with-the-sickness-tab-s6643t0
1,https://www.songsterr.com/a/wsa/van-halen-unchained-tab-s57561t0
2,https://www.songsterr.com/a/wsa/alice-in-chains-them-bones-tab-s22808t2
3,https://www.songsterr.com/a/wsa/ozzy-osbourne-no-more-tears-tab-s10135t1
4,https://www.songsterr.com/a/wsa/avenged-sevenfold-hail-to-the-king-tab-s383663t1
5,https://www.songsterr.com/a/wsa/hizaki-grace-project-race-wish-tab-s59953t0
6,https://www.songsterr.com/a/wsa/paramore-crushcrushcrush-tab-s24351t1
7,https://www.songsterr.com/a/wsa/69-eyes-stolen-season-tab-s703t1
8,https://www.songsterr.com/a/wsa/10-years-half-life-tab-s656t1
9,https://www.songsterr.com/a/wsa/12-stones-crash-tab-s632t0
10,https://www.songsterr.com/a/wsa/beatsteaks-mirrored-tab-s2726t0
11,https://www.songsterr.com/a/wsa/blackmail-evon-tab-s2927t0
12,https://www.songsterr.com/a/wsa/booxras-path-of-fire-tab-s3540t0
13,https://www.songsterr.com/a/wsa/booxras-as-light-dims-tab-s3463t2
14,https://www.songsterr.com/a/wsa/booxras-beyond-faith-tab-s3001t0
15,https://www.songsterr.com/a/wsa/brand-new-the-shower-scene-tab-s3620t0
16,https://www.songsterr.com/a/wsa/brand-new-me-vs-maradona-vs-elvis-tab-s3009t1
17,https://www.songsterr.com/a/wsa/coheed-and-cambria-always-and-never-tab-s4093t0
18,https://www.songsterr.com/a/wsa/colour-of-fire-the-exile-tab-s3874t0
19,https://www.songsterr.com/a/wsa/composers-of-msb-lex-talionis-tab-s4608t3
20,https://www.songsterr.com/a/wsa/composers-of-msb-dark-angel-tab-s3977t1
21,https://www.songsterr.com/a/wsa/darles-chickens-the-rat-in-the-pink-volvo-tab-s5256t4
22,https://www.songsterr.com/a/wsa/dredg-ode-to-the-sun-tab-s6353t2
23,https://www.songsterr.com/a/wsa/exterio-bonhomme-7h-tab-s6781t0
24,https://www.songsterr.com/a/wsa/fake-hedfuc-tab-s7542t0
25,https://www.songsterr.com/a/wsa/fake-chemical-in-me-tab-s7370t1
26,https://www.songsterr.com/a/wsa/fake-further-away-tab-s7377t1
27,https://www.songsterr.com/a/wsa/fake-taste-maximum-tab-s7856t0
28,https://www.songsterr.com/a/wsa/fake-larva-tab-s7478t0
29,https://www.songsterr.com/a/wsa/fake-static-tab-s7534t1
30,https://www.songsterr.com/a/wsa/finch-perfection-through-silence-tab-s7860t5
31,https://www.songsterr.com/a/wsa/finch-ender-tab-s7797t4
32,https://www.songsterr.com/a/wsa/finch-letters-to-you-tab-s7877t5
33,https://www.songsterr.com/a/wsa/finch-new-beginnings-tab-s7543t0
34,https://www.songsterr.com/a/wsa/finch-post-script-tab-s7522t1
35,https://www.songsterr.com/a/wsa/future-lost-waves-tab-s7886t0
36,https://www.songsterr.com/a/wsa/future-lost-demo-2-tab-s7382t1
37,https://www.songsterr.com/a/wsa/future-lost-game-tab-s7581t0
38,https://www.songsterr.com/a/wsa/nick-funyak-down-tab-s7880t1
39,https://www.songsterr.com/a/wsa/nick-funyak-all-in-the-end-tab-s7466t0
40,https://www.songsterr.com/a/wsa/good-charlotte-riot-girl-tab-s8346t1
41,https://www.songsterr.com/a/wsa/heavy-competition-10-rising-up-tab-s9207t0
42,https://www.songsterr.com/a/wsa/hirvituho-hirvisinfonia-tab-s9314t0
43,https://www.songsterr.com/a/wsa/gary-hoey-wipe-out-tab-s8851t2
44,https://www.songsterr.com/a/wsa/hoobastank-lucky-tab-s8787t3
45,https://www.songsterr.com/a/wsa/hoobastank-let-it-out-tab-s9067t2
46,https://www.songsterr.com/a/wsa/hoobastank-escape-tab-s8754t0
47,https://www.songsterr.com/a/wsa/home-town-hero-questions-tab-s9115t1
48,https://www.songsterr.com/a/wsa/jimmy-eat-world-work-tab-s10306t2
49,https://www.songsterr.com/a/wsa/kingston-wall-istwan-tab-s10889t0
50,https://www.songsterr.com/a/wsa/kyuss-space-cadet-tab-s11096t0
51,https://www.songsterr.com/a/wsa/local-h-cynic-tab-s11747t0
52,https://www.songsterr.com/a/wsa/los-hermanos-ultimo-romance-tab-s11577t1
53,https://www.songsterr.com/a/wsa/mustainerules-betrayed-tab-s12561t0
54,https://www.songsterr.com/a/wsa/my-downfall-wake-up-tab-s12779t0
55,https://www.songsterr.com/a/wsa/nickelback-just-for-tab-s14260t1
56,https://www.songsterr.com/a/wsa/nirvana-something-in-the-way-mtv-unplugged-tab-s14225t1
57,https://www.songsterr.com/a/wsa/no-glory-no-balls-whiplash-tab-s14071t1
58,https://www.songsterr.com/a/wsa/no-glory-no-balls-monkies-dancing-tab-s14093t2
59,https://www.songsterr.com/a/wsa/orgy-eva-p-i-tab-s15470t1
60,https://www.songsterr.com/a/wsa/orgy-eva-p-ii-tab-s15913t1
61,https://www.songsterr.com/a/wsa/population-1-high-tab-s15371t4
62,https://www.songsterr.com/a/wsa/presidents-of-the-united-states-of-america-tiki-god-tab-s16124t3
63,https://www.songsterr.com/a/wsa/puddle-of-mudd-nobody-told-me-tab-s15646t3
64,https://www.songsterr.com/a/wsa/puddle-of-mudd-out-of-my-head-tab-s14745t0
65,https://www.songsterr.com/a/wsa/red-alert-radio-2-tab-s16781t0
66,https://www.songsterr.com/a/wsa/sads-because-tab-s17355t2
67,https://www.songsterr.com/a/wsa/sads-metal-fur-tab-s18430t1
68,https://www.songsterr.com/a/wsa/sads-see-a-pink-thin-cellophane-tab-s18116t2
69,https://www.songsterr.com/a/wsa/sads-porno-star-tab-s18214t3
70,https://www.songsterr.com/a/wsa/sads-darkness-is-my-spiral-mind-tab-s17866t2
71,https://www.songsterr.com/a/wsa/sads-nancy-tab-s18372t3
72,https://www.songsterr.com/a/wsa/sads-hello-tab-s18267t3
73,https://www.songsterr.com/a/wsa/seether-truth-tab-s17477t0
74,https://www.songsterr.com/a/wsa/seether-never-leave-tab-s17952t0
75,https://www.songsterr.com/a/wsa/seether-plastic-man-tab-s17403t0
76,https://www.songsterr.com/a/wsa/sum-41-moron-tab-s18620t1
77,https://www.songsterr.com/a/wsa/singlethreat-lost-tab-s18564t0
78,https://www.songsterr.com/a/wsa/singlethreat-the-rise-and-fall-tab-s18571t4
79,https://www.songsterr.com/a/wsa/singlethreat-to-divide-and-conquer-tab-s18445t1
80,https://www.songsterr.com/a/wsa/singlethreat-nothing-left-tab-s17497t3
81,https://www.songsterr.com/a/wsa/staind-price-to-play-tab-s19488t1
82,https://www.songsterr.com/a/wsa/throttlerod-whistlin-dixie-tab-s20410t0
83,https://www.songsterr.com/a/wsa/farin-urlaub-augenblick-tab-s21035t1
84,https://www.songsterr.com/a/wsa/farin-urlaub-immer-noch-tab-s21280t7
85,https://www.songsterr.com/a/wsa/wednesday-13-god-is-a-lie-tab-s21690t0
86,https://www.songsterr.com/a/wsa/x-ecutioners-it-s-going-down-tab-s21371t0
87,https://www.songsterr.com/a/wsa/x-marika-hamro-nepal-tab-s21020t1
88,https://www.songsterr.com/a/wsa/x-marika-yo-hamro-nepal-tab-s21085t3
89,https://www.songsterr.com/a/wsa/akira-yamaoka-alone-in-the-town-tab-s20702t0
90,https://www.songsterr.com/a/wsa/afi-the-great-disappointment-tab-s768t0
91,https://www.songsterr.com/a/wsa/brand-new-secondary-tab-s3360t0
92,https://www.songsterr.com/a/wsa/brand-new-logan-to-government-center-tab-s3575t1
93,https://www.songsterr.com/a/wsa/course-of-nature-wall-of-shame-tab-s4747t1
94,https://www.songsterr.com/a/wsa/crack-ov-dawn-rise-and-fall-tab-s5106t0
95,https://www.songsterr.com/a/wsa/dir-en-grey-child-prey-tab-s6334t2
96,https://www.songsterr.com/a/wsa/dir-en-grey-the-iii-d-empire-tab-s5779t2
97,https://www.songsterr.com/a/wsa/ronnie-james-dio-shivers-tab-s6187t1
98,https://www.songsterr.com/a/wsa/dashboard-confessional-saints-and-sailors-tab-s6021t1
99,https://www.songsterr.com/a/wsa/darles-chickens-socks-and-peanut-windows-tab-s5974t4
100,https://www.songsterr.com/a/wsa/early-november-the-baby-blue-tab-s6982t2
101,https://www.songsterr.com/a/wsa/evanescence-my-last-breath-tab-s6852t1
102,https://www.songsterr.com/a/wsa/future-lost-waste-tab-s7513t0
103,https://www.songsterr.com/a/wsa/finch-bury-me-tab-s7414t0
104,https://www.songsterr.com/a/wsa/finch-what-it-is-to-burn-tab-s7438t2
105,https://www.songsterr.com/a/wsa/finch-worms-from-the-earth-tab-s7838t0
106,https://www.songsterr.com/a/wsa/finch-three-simple-words-tab-s7419t0
107,https://www.songsterr.com/a/wsa/guano-apes-you-can-t-stop-me-tab-s8094t0
108,https://www.songsterr.com/a/wsa/heavy-competition-11-revelation-tab-s8999t5
109,https://www.songsterr.com/a/wsa/hoobastank-from-the-heart-tab-s9376t1
110,https://www.songsterr.com/a/wsa/ozzy-osbourne-perry-mason-tab-s10145t3
111,https://www.songsterr.com/a/wsa/jhguitar-freak-metal-assault-tab-s10167t0
112,https://www.songsterr.com/a/wsa/santiago-dobles-smooth-tab-s12086t3
113,https://www.songsterr.com/a/wsa/matchbook-romance-shadows-like-statues-tab-s13188t0
114,https://www.songsterr.com/a/wsa/poison-body-talk-tab-s22356t0
115,https://www.songsterr.com/a/wsa/30-seconds-to-mars-welcome-to-the-universe-tab-s22384t1
116,https://www.songsterr.com/a/wsa/amber-pacific-everything-we-were-has-become-what-we-are-tab-s22392t1
117,https://www.songsterr.com/a/wsa/amber-pacific-for-what-it-s-worth-tab-s22401t0
