,0
0,https://www.songsterr.com/a/wsa/damageplan-fuck-you-tab-s515249t1
1,https://www.songsterr.com/a/wsa/sage-and-stifling-between-humans-and-nature-tab-s515104t0
2,https://www.songsterr.com/a/wsa/emetocropoklismanecropedoeproctophile-forbidden-love-tab-s514768t1
3,https://www.songsterr.com/a/wsa/katatonia-rein-tab-s514746t0
4,https://www.songsterr.com/a/wsa/katatonia-heart-set-to-divide-tab-s514744t2
5,https://www.songsterr.com/a/wsa/bring-me-the-horizon-strangers-chorus-tab-s514672t1
6,https://www.songsterr.com/a/wsa/skeletorus-fahrenheit-451-tab-s514543t1
7,https://www.songsterr.com/a/wsa/jane-air-tab-s514478t0
8,https://www.songsterr.com/a/wsa/fit-for-a-king-asggadsagdgasaaaaaaaaaa-tab-s514452t0
9,https://www.songsterr.com/a/wsa/my-enemies-i-stripe-tab-s514345t4
10,https://www.songsterr.com/a/wsa/blood-laced-misery-untitled-31-tab-s514342t2
11,https://www.songsterr.com/a/wsa/raven-age-grave-of-the-fireflies-tab-s514329t0
12,https://www.songsterr.com/a/wsa/leaftrace-zhivoy-tab-s514115t1
13,https://www.songsterr.com/a/wsa/my-enemies-and-i-carbon-copy-tab-s513865t1
14,https://www.songsterr.com/a/wsa/fractal-eater-a-bleak-exercise-in-time-theft-tab-s513832t1
15,https://www.songsterr.com/a/wsa/bring-me-the-horizon-can-you-feel-my-heart-live-tab-s513740t1
16,https://www.songsterr.com/a/wsa/bring-me-the-horizon-can-you-feel-my-heart-live-tab-s513699t1
17,https://www.songsterr.com/a/wsa/dogeplaysguitar-teardrops-bmth-cover-tab-s513220t0
18,https://www.songsterr.com/a/wsa/codomo-dragon-make-inu-tab-s513106t0
19,https://www.songsterr.com/a/wsa/tsubaki-disconnection-tab-s512849t0
20,https://www.songsterr.com/a/wsa/waqs-readth-tab-s512748t1
21,https://www.songsterr.com/a/wsa/shredagge-when-all-light-dies-tab-s512550t0
