,0
0,https://www.songsterr.com/a/wsa/efe-karatoprak-feeling-tab-s515358t0
1,https://www.songsterr.com/a/wsa/lithium-if-i-had-demo-tab-s515353t0
2,https://www.songsterr.com/a/wsa/evgeni-vutov-pirate2-tab-s515345t1
3,https://www.songsterr.com/a/wsa/immolated-humano-impune-tab-s515321t0
4,https://www.songsterr.com/a/wsa/wisniak-prozek-tab-s515294t0
5,https://www.songsterr.com/a/wsa/a-negative-regenerative-pheasant-lost-woods-and-darks-incoherences-tab-s515243t1
6,https://www.songsterr.com/a/wsa/face-of-death-meth-ampheticide-tab-s515240t0
7,https://www.songsterr.com/a/wsa/negura-bunget-bruiestru-tab-s515224t5
8,https://www.songsterr.com/a/wsa/dd-dd-unicorn-tab-s515207t0
9,https://www.songsterr.com/a/wsa/primal-fear-diabolus-tab-s515135t3
10,https://www.songsterr.com/a/wsa/primal-fear-evil-spell-tab-s515130t4
11,https://www.songsterr.com/a/wsa/fphvup-gpcphcpu-tab-s515071t0
12,https://www.songsterr.com/a/wsa/slayer-angel-of-death-d-standard-tab-s514978t0
13,https://www.songsterr.com/a/wsa/samove-riffy-fcfbdgvc-tab-s514974t1
14,https://www.songsterr.com/a/wsa/vektor-recharging-the-void-d-standard-tab-s514962t4
15,https://www.songsterr.com/a/wsa/shawn-cochran-jurassic-park-theme-guitar-tab-s514943t0
16,https://www.songsterr.com/a/wsa/turnstile-underwater-boi-tab-s514895t1
17,https://www.songsterr.com/a/wsa/metallica-through-the-never-drop-d-tab-s514883t2
18,https://www.songsterr.com/a/wsa/metallica-leper-messiah-drop-d-tab-s514880t1
19,https://www.songsterr.com/a/wsa/sinister-desire-melancholy-demo-tab-s514864t6
20,https://www.songsterr.com/a/wsa/hellbroken-discontinued-thought-side-3-tab-s514849t0
21,https://www.songsterr.com/a/wsa/hellbroken-discontinued-thought-side-2-tab-s514848t0
22,https://www.songsterr.com/a/wsa/hellbroken-discontinued-thought-side-1-tab-s514847t1
23,https://www.songsterr.com/a/wsa/spiten-dich-track-4-2-tab-s514833t1
24,https://www.songsterr.com/a/wsa/self-kill-self-killed-tab-s514808t1
25,https://www.songsterr.com/a/wsa/hellbroken-a-new-life-above-or-below-tab-s514781t3
26,https://www.songsterr.com/a/wsa/zkam-riff-2-tab-s514777t0
27,https://www.songsterr.com/a/wsa/hellbroken-external-depression-tab-s514689t0
28,https://www.songsterr.com/a/wsa/evgeni-vutov-pirate1-tab-s514656t4
29,https://www.songsterr.com/a/wsa/primal-fear-demons-and-angels-tab-s514621t0
30,https://www.songsterr.com/a/wsa/foul-pride-trigger-happy-2-tab-s514610t0
31,https://www.songsterr.com/a/wsa/black-crown-riffi35-205-tab-s514595t1
32,https://www.songsterr.com/a/wsa/purple-haze-airstrike-cover-tab-s514591t2
33,https://www.songsterr.com/a/wsa/purple-haze-menus-guitar-cover-tab-s514589t0
34,https://www.songsterr.com/a/wsa/foul-pride-trigger-happy-tab-s514584t0
35,https://www.songsterr.com/a/wsa/hola-soy-dios-hola-soy-dios-tab-s514537t3
36,https://www.songsterr.com/a/wsa/open-fracture-old-witch-s-lullaby-tab-s514536t0
37,https://www.songsterr.com/a/wsa/rom-bro-that-romper-looks-tite-on-dat-ass-tho-tab-s514528t0
38,https://www.songsterr.com/a/wsa/foul-pride-statistics-2-tab-s514444t0
39,https://www.songsterr.com/a/wsa/foul-pride-work-til-death-2-tab-s514438t0
40,https://www.songsterr.com/a/wsa/foul-pride-tab-s514424t0
41,https://www.songsterr.com/a/wsa/toxic-holocaust-acid-fuzz-tab-s514387t0
42,https://www.songsterr.com/a/wsa/foul-pride-public-execution-tab-s514343t0
43,https://www.songsterr.com/a/wsa/rage-voice-from-the-vault-tab-s514266t0
44,https://www.songsterr.com/a/wsa/rage-forever-tab-s514265t2
45,https://www.songsterr.com/a/wsa/primal-fear-king-for-a-day-tab-s514264t3
46,https://www.songsterr.com/a/wsa/rage-through-ages-tab-s514262t1
47,https://www.songsterr.com/a/wsa/rage-the-edge-of-darkness-tab-s514261t2
48,https://www.songsterr.com/a/wsa/rage-blackened-karma-tab-s514257t0
49,https://www.songsterr.com/a/wsa/plague-thorned-is-my-crown-tab-s514255t0
50,https://www.songsterr.com/a/wsa/az-proba76-tab-s514229t3
51,https://www.songsterr.com/a/wsa/susliki-tab-s514174t0
52,https://www.songsterr.com/a/wsa/violence-division-meia-noite-tab-s514055t5
53,https://www.songsterr.com/a/wsa/megadeth-night-stalkers-tab-s514016t1
54,https://www.songsterr.com/a/wsa/marco-molteni-winter-snow-solo-tab-s514008t0
55,https://www.songsterr.com/a/wsa/guillotine-johnny-crawl-tab-s513998t0
56,https://www.songsterr.com/a/wsa/deathblower-pan-snu-tab-s513996t1
57,https://www.songsterr.com/a/wsa/napierdalac-god-is-death-tab-s513972t0
58,https://www.songsterr.com/a/wsa/n-l-stem-tab-s513958t2
59,https://www.songsterr.com/a/wsa/foul-pride-work-til-death-tab-s513947t0
