,Band,Song,Player,Technique,Difficulty,Score,Spotify danceability,Spotify energy,Spotify loudness,Spotify valence,Guitar difficulty,Guitar score,Guitar librosa 1,Guitar librosa 2,Bass difficulty,Bass score,Drums difficulty,Drums score,Piano difficulty,Piano score
0,The Beatles,Blackbird,Paul McCartney,"['Guitar', 'Acoustic Guitar (nylon)']",Intermediate,3/8,0.59,0.06,0.86,0.8,Intermediate,3/8,0.9,0.29,Beginner,5/8,Beginner,6/8,Intermediate,4/8
1,Isaac Albéniz,Asturias (Leyenda),Ýz 1,['Acoustic Guitar (nylon)'],Intermediate,5/8,0.56,0.18,0.45,0.42,Intermediate,5/8,0.81,0.29,Beginner,7/8,Advanced,6/8,Intermediate,7/8
2,AC/DC,Back In Black,Angus Young (Lead),['Distortion Guitar'],Intermediate,3/8,0.16,0.04,0.65,0.3,Intermediate,3/8,0.0,0.51,Advanced,8/8,Beginner,6/8,Intermediate,6/8
3,Pachelbel,Canon in D Major,,['Track: Acoustic Guitar (nylon)'],Intermediate,4/8,0.27,0.5,0.83,0.4,Intermediate,4/8,0.2,0.37,Beginner,2/8,Intermediate,7/8,Beginner,7/8
4,Led Zeppelin,"Babe, I'm Gonna Leave You",Jimmy Page,['Acoustic Guitar (steel)'],Beginner,2/8,0.81,0.33,0.4,0.44,Beginner,2/8,0.16,0.39,Beginner,2/8,Intermediate,6/8,Intermediate,1/8
5,Jimi Hendrix,Little Wing,Jimi Hendrix,['Electric Guitar (jazz) 1'],Intermediate,5/8,0.97,0.78,0.54,0.38,Intermediate,5/8,0.93,0.25,Intermediate,8/8,Intermediate,3/8,Advanced,1/8
6,Pink Floyd,Shine On You Crazy Diamond (Parts I - IX),David Gilmour,"['Lap Steel Harmony', 'Overdriven Guitar']",Beginner,2/8,0.68,0.2,0.09,0.51,Beginner,2/8,0.4,0.58,Intermediate,5/8,Advanced,6/8,Advanced,2/8
7,Kansas,Dust In The Wind,Guitar 1,['Acoustic Guitar (nylon)'],Intermediate,3/8,0.71,0.0,0.18,0.03,Intermediate,3/8,0.11,0.17,Intermediate,7/8,Intermediate,2/8,Beginner,6/8
8,Francisco Tarrega,Capricho Arabe,Serenata para Guitarra,['Acoustic Guitar (nylon)'],Intermediate,5/8,0.57,0.53,0.93,0.62,Intermediate,5/8,0.17,0.02,Advanced,1/8,Advanced,6/8,Beginner,2/8
9,Pachelbel,Canon In C,,['Track: Acoustic Guitar (nylon)'],Beginner,1/8,0.77,0.1,0.42,0.14,Beginner,1/8,0.89,0.53,Intermediate,5/8,Intermediate,2/8,Beginner,4/8
